INST 	REGION	SUBREGION	CULTURE	OWC	SUBSISTENCE TYPE	PSF	SRS
E47	Africa	Western Africa	Wolof	MS30	horticulturalists	PSF	
E47	Africa	Northern Africa	Libyan Bedouin	MT09	pastoralists	PSF	
E47	North America	Regional and Ethnic Cultures	Arab Canadians	NC05	commercial economy		
E47	North America	Plains and Plateau	Blackfoot	NF06	hunter-gatherers	PSF	
E47	North America	Regional and Ethnic Cultures	Arab Americans	NK09	commercial economy		
E47	Asia	Southeast Asia	Ifugao	OA19	intensive agriculturalists	PSF	
E47	Oceania	Micronesia	Chuuk	OR19	other subsistence combinations	PSF	
E47	Middle America and the Caribbean	Central America	Kuna	SB05	horticulturalists	PSF	
E47	South America	Eastern South America	Bahia Brazilians	SO11	intensive agriculturalists	PSF	
E47	South America	Amazon and Orinoco	Ndyuka	SR14	horticulturalists		
E47	South America	Amazon and Orinoco	Saramaka	SR15	other subsistence combinations	PSF	
E48	Asia	Southeast Asia	Central Thai	AO07	intensive agriculturalists	PSF	
E48	Africa	Western Africa	Dogon	FA16	intensive agriculturalists	PSF	
E48	Africa	Western Africa	Akan	FE12	horticulturalists	PSF	
E48	North America	Arctic and Subarctic	Ojibwa	NG06	hunter-gatherers	PSF	
E48	North America	Southwest and Basin	Hopi	NT09	intensive agriculturalists	PSF	
E49	Asia	East Asia	Okinawans	AC07	intensive agriculturalists		SRS
E49	Europe	Southern Europe	Basques	EX08	other subsistence combinations		
E49	Africa	Southern Africa	Lakeshore Tonga	FR07	other subsistence combinations		SRS
E49	North America	Regional and Ethnic Cultures	North American Hmong	N009	commercial economy		
E49	North America	Regional and Ethnic Cultures	Italian Americans	N010	commercial economy		
E49	North America	Regional and Ethnic Cultures	Italian Canadians	NC06	commercial economy		
E49	North America	Arctic and Subarctic	Chipewyans	ND07	hunter-gatherers		
E49	North America	Northwest Coast and California	Quinault	NR17	hunter-gatherers		SRS
E49	North America	Northwest Coast and California	Pomo	NS18	hunter-gatherers		SRS
E49	Middle America and the Caribbean	Maya Area	Maya (Yucatán Peninsula)	NV10	horticulturalists		SRS
E49	Asia	Southeast Asia	Mentawaians	OD09	horticulturalists		SRS
E49	South America	Amazon and Orinoco	Warao	SS18	hunter-gatherers		
E50	Asia	South Asia	Baluchi	AT02	pastoralists		
E50	Asia	Central Asia	Pashtun	AU04	other subsistence combinations		
E50	Asia	Central Asia	Hazara	AU05	intensive agriculturalists		
E50	Asia	Central Asia	Ghorbat	AU07	commercial economy		
E50	Asia	South Asia	Bengali	AW69	intensive agriculturalists		SRS
E50	Africa	Eastern Africa	Nuer	FJ22	agro-pastoralists		SRS
E50	Africa	Southern Africa	Ovimbundu	FP13	horticulturalists		SRS
E50	North America	Regional and Ethnic Cultures	Chicanos	N007	commercial economy		
E50	North America	Plains and Plateau	Assiniboine	NF04	hunter-gatherers		SRS
E50	North America	Plains and Plateau	Stoney	NF12	hunter-gatherers		
E50	North America	Regional and Ethnic Cultures	Puerto Ricans (Mainland)	NK05	commercial economy		
E50	North America	Northwest Coast and California	Yokuts	NS29	hunter-gatherers		SRS
E50	North America	Southwest and Basin	Western Apache	NT21	primarily hunter-gatherers		
E50	Asia	Southeast Asia	Rungus Dusun	OC13	horticulturalists		SRS
E50	Oceania	Melanesia	Malekula	OO12	horticulturalists		SRS
E50	Asia	Central Asia	Turkmens	RM02	agro-pastoralists		
E50	Asia	Central Asia	Karakalpak	RN02	intensive agriculturalists		
E50	Asia	Central Asia	Uzbeks	RN05	not assigned		
E50	Asia	Central Asia	Tajiks	RO02	not assigned		
E50	Asia	Central Asia	Pamir Peoples	RO03	agro-pastoralists		
E50	Asia	Central Asia	Kyrgyz	RP02	pastoralists		
E50	South America	Amazon and Orinoco	Shipibo	SE26	horticulturalists		SRS
E51	Asia	Central Asia	Lepcha	AK05	intensive agriculturalists		
E51	Europe	Southeastern Europe	Greeks	EH01	intensive agriculturalists		SRS
E51	Africa	Western Africa	Igbo	FF26	horticulturalists		SRS
E51	Africa	Eastern Africa	Banyoro	FK11	horticulturalists		SRS
E51	Africa	Eastern Africa	Bena	FN31	horticulturalists		SRS
E51	Africa	Southern Africa	Betsileo	FY11	intensive agriculturalists		
E51	Middle East	Middle East	Palestinians	M013	commercial economy		
E51	Middle East	Middle East	Turks	MB01	commercial economy		
E51	Middle East	Middle East	Israelis	MF01	commercial economy		
E51	Middle East	Middle East	Yemenis	ML01	not assigned		
E51	North America	Eastern Woodlands	Delaware	NM07	primarily hunter-gatherers		
E51	North America	Eastern Woodlands	Seminole	NN16	horticulturalists		
E51	North America	Northwest Coast and California	Yuki	NS30	hunter-gatherers		
E51	Middle America and the Caribbean	Northern Mexico	Huichol	NU19	other subsistence combinations		
E51	Middle America and the Caribbean	Central Mexico	Zapotec	NU44	horticulturalists		
E51	Asia	Southeast Asia	Alorese	OF05	horticulturalists		
E51	Oceania	Melanesia	Santa Cruz Islanders	ON13	horticulturalists		
E51	Oceania	Polynesia	Hawaiians	OV05	other subsistence combinations		
E51	Asia	North Asia	Koryaks	RY04	primarily hunter-gatherers		
E51	South America	Southern South America	Yahgan	SH06	hunter-gatherers		
E51	South America	Eastern South America	Tupinamba	SO09	primarily hunter-gatherers		
E51	South America	Amazon and Orinoco	Mundurucu	SQ13	primarily hunter-gatherers		
E51	Middle America and the Caribbean	Caribbean	Dominicans	ST04	not assigned		
E51	Middle America and the Caribbean	Caribbean	Cubans	SX01	not assigned		
E51	Middle America and the Caribbean	Caribbean	Jamaicans	SY01	not assigned		
E52	Asia	Central Asia	Sherpa	AK06	agro-pastoralists		
E52	Europe	Scandinavia	Icelanders	EQ01	other subsistence combinations		SRS
E52	Europe	Scandinavia	Early Icelanders	EQ02	other subsistence combinations		
E52	Africa	Eastern Africa	Bagisu	FK13	horticulturalists		SRS
E52	North America	Northwest Coast and California	Chinookans of the Lower Columbia River	NR06	hunter-gatherers		SRS
E52	North America	Southwest and Basin	Navajo	NT13	agro-pastoralists		
E52	North America	Southwest and Basin	Zia Pueblo	NT38	intensive agriculturalists		SRS
E52	Oceania	Melanesia	Orokaiva	OJ23	other subsistence combinations		
E52	South America	Amazon and Orinoco	Bakairi	SP07	other subsistence combinations		
E53	Asia	East Asia	Monguor	AE09	intensive agriculturalists		
E53	Asia	South Asia	Badaga	AW50	intensive agriculturalists		
E53	Africa	Southern Africa	San	FX10	hunter-gatherers		
E53	Africa	Southern Africa	Zulu	FX20	agro-pastoralists		
E53	Middle East	Middle East	Palestinians	M013	commercial economy		
E53	Middle East	Middle East	Israelis	MF01	commercial economy		
E53	North America	Arctic and Subarctic	Alutiiq	NA10	hunter-gatherers		
E53	Oceania	Melanesia	Manus	OM06	hunter-gatherers		
E53	Middle America and the Caribbean	Central America	Garifuna	SA12	horticulturalists		
E53	South America	Central Andes	Inka	SE13	intensive agriculturalists		
E53	Middle America and the Caribbean	Caribbean	Island Carib	ST13	primarily hunter-gatherers		
E54	Asia	Central Asia	Mongolia	AH01	pastoralists		
E54	Asia	Central Asia	Inner Mongolia	AH06	agro-pastoralists		
E54	Africa	Eastern Africa	Gusii	FL08	horticulturalists		
E54	Middle East	Middle East	Iran	MA01	intensive agriculturalists		
E54	Middle East	Middle East	Lur	MA12	agro-pastoralists		
E54	North America	Arctic and Subarctic	Aleut	NA06	hunter-gatherers		
E54	North America	Regional and Ethnic Cultures	Sea Islanders	NN23	commercial economy		
E54	Oceania	Micronesia	Yapese	OR22	other subsistence combinations		
E54	Oceania	Polynesia	Tongans	OU09	horticulturalists		
E54	South America	Amazon and Orinoco	Jivaro	SD09	horticulturalists		
E55	Asia	Southeast Asia	Vietnamese	AM11	intensive agriculturalists		
E55	Asia	Southeast Asia	Semang	AN07	hunter-gatherers		
E55	Asia	South Asia	Burusho	AV07	intensive agriculturalists		
E55	Europe	Southern Europe	Imperial Romans	EI09	intensive agriculturalists		
E55	Africa	Western Africa	Bambara	FA08	other subsistence combinations		
E55	Middle East	Middle East	Basseri	MA10	pastoralists		
E55	North America	Arctic and Subarctic	Western Woods Cree	NG08	hunter-gatherers		
E55	North America	Eastern Woodlands	Cherokee	NN08	other subsistence combinations		
E55	North America	Plains and Plateau	Comanche	NO06	hunter-gatherers		
E55	North America	Southwest and Basin	Ute	NT19	hunter-gatherers		
E55	Oceania	Micronesia	Ulithi	OR20	other subsistence combinations		
E55	Oceania	Micronesia	Woleai Region	OR21	other subsistence combinations		
E55	South America	Amazon and Orinoco	Sirionó	SF21	hunter-gatherers		
E55	South America	Southern South America	Tehuelche	SH05	hunter-gatherers		
E56	Asia	East Asia	Ainu	AB06	hunter-gatherers		
E56	Asia	East Asia	Miao	AE05	intensive agriculturalists		
E56	Asia	South Asia	Tamil	AW16	intensive agriculturalists		
E56	Asia	South Asia	Vedda	AX05	hunter-gatherers		
E56	Africa	Western Africa	Mossi	FA28	intensive agriculturalists		
E56	Africa	Western Africa	Kpelle	FD06	horticulturalists		
E56	Africa	Western Africa	Yoruba	FF62	horticulturalists		
E56	Africa	Central Africa	Rwandans	FO57	agro-pastoralists		
E56	Africa	Southern Africa	Tanala	FY08	intensive agriculturalists		
E56	Middle East	Middle East	Rwala Bedouin	MD04	pastoralists		
E56	Middle East	Middle East	Bedouin	MJ04	pastoralists		
E56	North America	Arctic and Subarctic	Innu	NH06	hunter-gatherers		
E56	North America	Regional and Ethnic Cultures	Amish	NM06	intensive agriculturalists		
E56	North America	Eastern Woodlands	Creek	NN11	primarily hunter-gatherers		
E56	North America	Southwest and Basin	Zuni	NT23	intensive agriculturalists		
E56	Middle America and the Caribbean	Central Mexico	Zapotec	NU44	horticulturalists		
E56	Oceania	Australia	Tiwi	OI20	hunter-gatherers		
E56	Oceania	Polynesia	Samoans	OU08	horticulturalists		
E56	Oceania	Polynesia	Maori	OZ04	primarily hunter-gatherers		
E56	Asia	Caucasus	Abkhazians	RI03	agro-pastoralists		
E56	South America	Central Andes	Mapuche	SG04	intensive agriculturalists		
E56	South America	Amazon and Orinoco	Barama River Carib	SR09	primarily hunter-gatherers		
E57	Asia	Central Asia	Tibetans	AJ01	intensive agriculturalists		
E57	Asia	South Asia	Bhil	AW25	agro-pastoralists		
E57	Asia	South Asia	Toda	AW60	pastoralists		
E57	Africa	Western Africa	Mende	FC07	horticulturalists		
E57	Africa	Western Africa	Tallensi	FE11	intensive agriculturalists		
E57	Africa	Eastern Africa	Shilluk	FJ23	agro-pastoralists		
E57	Africa	Eastern Africa	Gikuyu	FL10	intensive agriculturalists		
E57	Africa	Central Africa	Mongo	FO32	horticulturalists		
E57	Africa	Central Africa	Barundi	FO58	horticulturalists		
E57	Africa	Southern Africa	Khoi	FX13	other subsistence combinations		
E57	Africa	Northern Africa	Tuareg	MS25	agro-pastoralists		
E57	North America	Regional and Ethnic Cultures	African Americans	NK04	commercial economy		
E57	North America	Eastern Woodlands	Winnebago/Ho-Chunk	NP12	primarily hunter-gatherers		
E57	North America	Southwest and Basin	Tewa Pueblos	NT18	intensive agriculturalists		
E57	North America	Southwest and Basin	Mescalero Apache	NT25	hunter-gatherers		
E57	Middle America and the Caribbean	Central Mexico	Nahua	NU46	other subsistence combinations		
E57	Middle America and the Caribbean	Maya Area	Mam Maya	NW08	horticulturalists		
E57	Asia	Southeast Asia	Javanese	OE05	intensive agriculturalists		
E57	Asia	Southeast Asia	Balinese	OF07	intensive agriculturalists		
E57	Oceania	Melanesia	Kwoma	OJ13	other subsistence combinations		
E57	Asia	North Asia	Nivkh	RX02	primarily hunter-gatherers		
E57	South America	Central Andes	Quito Quichua	SD15	agro-pastoralists		
E57	South America	Central Andes	Otavalo Quichua	SD16	horticulturalists		
E57	South America	Central Andes	Saraguro Quichua	SD17	agro-pastoralists		
E57	South America	Amazon and Orinoco	Canelos Quichua	SD18	horticulturalists		
E57	South America	Southern South America	Abipón	SI04	hunter-gatherers		
E57	South America	Amazon and Orinoco	Nambicuara	SP17	primarily hunter-gatherers		
E57	South America	Eastern South America	Tapirapé	SP22	other subsistence combinations		
E57	South America	Amazon and Orinoco	Trumai	SP23	primarily hunter-gatherers		
E57	South America	Amazon and Orinoco	Ticuna	SQ20	primarily hunter-gatherers		
E58	Asia	East Asia	Okayama	AB43	intensive agriculturalists		
E58	Asia	East Asia	Yi	AE04	intensive agriculturalists		
E58	Asia	Southeast Asia	Malays	AN05	intensive agriculturalists		
E58	Asia	South Asia	Uttar Pradesh	AW19	intensive agriculturalists		
E58	Asia	South Asia	Gond	AW32	other subsistence combinations		
E58	Africa	Eastern Africa	Luo	FL11	intensive agriculturalists		
E58	Africa	Eastern Africa	Turkana	FL17	pastoralists		
E58	Africa	Eastern Africa	Chagga	FN04	intensive agriculturalists		
E58	Africa	Eastern Africa	Nyakyusa and Ngonde	FN17	intensive agriculturalists		
E58	Africa	Southern Africa	Tsonga	FT06	other subsistence combinations		
E58	Africa	Northern Africa	Fellahin	MR13	intensive agriculturalists		
E58	Africa	Central Africa	Teda	MS22	agro-pastoralists		
E58	Africa	Northern Africa	Berbers of Morocco	MX03	agro-pastoralists		
E58	North America	Northwest Coast and California	Nuxalk	NE06	hunter-gatherers		
E58	North America	Northwest Coast and California	Nuu-chah-nulth	NE11	hunter-gatherers		
E58	North America	Eastern Woodlands	Mi'kmaq	NJ05	hunter-gatherers		
E58	North America	Plains and Plateau	Omaha	NQ21	primarily hunter-gatherers		
E58	North America	Plains and Plateau	Osage	NQ22	primarily hunter-gatherers		
E58	North America	Northwest Coast and California	Yurok	NS31	hunter-gatherers		
E58	North America	Southwest and Basin	Havasupai	NT14	other subsistence combinations		
E58	North America	Southwest and Basin	O'odham	NU79	other subsistence combinations		
E58	Oceania	Micronesia	Marshallese	OR11	other subsistence combinations		
E58	Oceania	Micronesia	Belau	OR15	other subsistence combinations		
E58	Oceania	Polynesia	Marquesas	OX06	other subsistence combinations		
E58	Asia	Central Asia	Kazakh	RQ02	pastoralists		
E58	Middle America and the Caribbean	Central America	Miskito	SA15	primarily hunter-gatherers		
E58	South America	Southern South America	Terena	SM05	primarily hunter-gatherers		
E59	Asia	East Asia	Manchu	AG04	intensive agriculturalists		
E59	Asia	Southeast Asia	Cambodians	AM04	intensive agriculturalists		
E59	Asia	Southeast Asia	Semai	AN06	horticulturalists		
E59	Asia	Southeast Asia	Burmans	AP04	intensive agriculturalists		
E59	Asia	Southeast Asia	Kachin	AP06	horticulturalists		
E59	Asia	Southeast Asia	Karen	AP07	other subsistence combinations		
E59	Europe	Southeastern Europe	Albanians	EG01	intensive agriculturalists		
E59	Europe	British Isles	British (1714-1815)	ES03	intensive agriculturalists		
E59	Middle East	Middle East	Turks	MB01	commercial economy		
E59	Africa	Eastern Africa	Kaffa	MP14	intensive agriculturalists		
E59	North America	Arctic and Subarctic	Kaska	ND12	hunter-gatherers		
E59	North America	Plains and Plateau	Gros Ventre	NQ13	hunter-gatherers		
E59	North America	Southwest and Basin	Northern Paiute	NR13	hunter-gatherers		
E59	North America	Southwest and Basin	Eastern Apache	NT08	hunter-gatherers		
E59	Oceania	Melanesia	Lesu	OM24	other subsistence combinations		
E59	Asia	North Asia	Samoyed	RU04	other subsistence combinations		
E59	Asia	North Asia	Nenets	RU41	other subsistence combinations		
E59	Middle America and the Caribbean	Central America	Talamancans	SA19	other subsistence combinations		
E59	South America	Northwestern South America	Goajiro	SC13	pastoralists		
E59	South America	Northwestern South America	Chachi	SD06	primarily hunter-gatherers		
E59	South America	Eastern South America	Xokleng	SM03	hunter-gatherers		
E59	South America	Eastern South America	Canela	SO08	other subsistence combinations		
E59	Middle America and the Caribbean	Caribbean	Puerto Ricans (Island)	SU01	commercial economy		
E59	Middle America and the Caribbean	Caribbean	Haitians	SV03	commercial economy		
