id	coder	content_type	culture	extract	Conflict	Evidence_Mental_Illness	Evidence_of_burdensomeness	Fitness_threat	High_RP	Low_RP	Low_lethality	Married	Motive_better_off_kin	Motive_harm_others	Motive_leverage	Motive_make_others_better_off	Outcome_better_off	Outcome_change	Outcome_others_harmed	Public_SB	SA_fitness	aggression	powerlessness
529	zgarfield	Cultural model	Banyoro	"If the king himself became ill, this was kept a closely guarded secret and, according to tradition, if his illness seemed likely to be fatal he would be expected to hasten his end by drinking poison. It was believed that a king who suffered any physical injury involving mutilation or incapacity, such as a wound in battle, could not continue to reign; if the injury were not quickly fatal he would be given poison. When he grew old and feeble and was unable to carry out his duties properly he should either take poison or he would be killed by one or more of his wives. (1) It is impossible to be certain whether any kings actually killed themselves, or were killed, in such ways as these, though I think that it is not unlikely that they were. But whether they were or not, it is of interest that the kingship was thought about in this way. Like [p. 106] the Mugabe of Ankole, the Mukama was not supposed to turn over while in bed, lest some disaster befall the country. This was, of course, because any imperfection or weakness in the king was thought to involve a corresponding danger to the kingdom."	No evidence	No evidence	No evidence	No evidence	Evidence against	Evidence for	Evidence against	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence
529	syme	Cultural model	Banyoro	"If the king himself became ill, this was kept a closely guarded secret and, according to tradition, if his illness seemed likely to be fatal he would be expected to hasten his end by drinking poison. It was believed that a king who suffered any physical injury involving mutilation or incapacity, such as a wound in battle, could not continue to reign; if the injury were not quickly fatal he would be given poison. When he grew old and feeble and was unable to carry out his duties properly he should either take poison or he would be killed by one or more of his wives. (1) It is impossible to be certain whether any kings actually killed themselves, or were killed, in such ways as these, though I think that it is not unlikely that they were. But whether they were or not, it is of interest that the kingship was thought about in this way. Like [p. 106] the Mugabe of Ankole, the Mukama was not supposed to turn over while in bed, lest some disaster befall the country. This was, of course, because any imperfection or weakness in the king was thought to involve a corresponding danger to the kingdom."	No evidence	No evidence	Evidence for	No evidence	Evidence against	Evidence for	Evidence against	Evidence for	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence
531	zgarfield	Cultural model	Banyoro	"The ghost of anyone who had been wrongfully accused and had committed suicide was very dangerous, even the ghost of a woman being feared under these circumstances. A woman who had been wrongfully accused of adultery would go and hang herself, and her ghost would then be a malignant influence. Her body was buried as near the place of her death as possible that the ghost might be destroyed or confined to that locality. If she hanged herself on a tree, the body was buried just clear of the roots, the tree was cut down and its roots were dug up; the whole was then burned to ashes and the relatives had to pay ample compensation to the chief on whose land the deed had been done."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence against	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence against	No evidence	No evidence
531	syme	Cultural model	Banyoro	"The ghost of anyone who had been wrongfully accused and had committed suicide was very dangerous, even the ghost of a woman being feared under these circumstances. A woman who had been wrongfully accused of adultery would go and hang herself, and her ghost would then be a malignant influence. Her body was buried as near the place of her death as possible that the ghost might be destroyed or confined to that locality. If she hanged herself on a tree, the body was buried just clear of the roots, the tree was cut down and its roots were dug up; the whole was then burned to ashes and the relatives had to pay ample compensation to the chief on whose land the deed had been done."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence against	Evidence for	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
532	zgarfield	Cultural model	Banyoro	"Suicide was common among both men and women. Among the pastoral tribes a man would hang himself or strangle himself because he had been discovered in some theft... ...or because he had by unfair means obtained a cow from another man and did not wish to return it......or because he had been [p. 66] forced to part with cattle as a fine...Any of these causes would be quite sufficient to induce him to strangle himself by tying his loin cloth or some other article round his neck. If he did the deed in the house, the house had to be destroyed and the main posts and the central rings, which formed the apex of the roof, burned. The rest of the materials might be used again for building. The body was buried quite near the house in which the deed had been committed. If he hanged himself on a tree, his relatives had to pay the chief of the district a sum of money, and had then to cut down the tree and dig up the roots. The body was buried near the tree, just far enough away to give the men room to dig up the roots. The tree and its roots were burned on the spot and no traces left, lest some other person might be influenced by them to destroy himself."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	Evidence for	No evidence	Evidence against	No evidence	Evidence for
532	syme	Cultural model	Banyoro	"Suicide was common among both men and women. Among the pastoral tribes a man would hang himself or strangle himself because he had been discovered in some theft... ...or because he had by unfair means obtained a cow from another man and did not wish to return it......or because he had been [p. 66] forced to part with cattle as a fine...Any of these causes would be quite sufficient to induce him to strangle himself by tying his loin cloth or some other article round his neck. If he did the deed in the house, the house had to be destroyed and the main posts and the central rings, which formed the apex of the roof, burned. The rest of the materials might be used again for building. The body was buried quite near the house in which the deed had been committed. If he hanged himself on a tree, his relatives had to pay the chief of the district a sum of money, and had then to cut down the tree and dig up the roots. The body was buried near the tree, just far enough away to give the men room to dig up the roots. The tree and its roots were burned on the spot and no traces left, lest some other person might be influenced by them to destroy himself."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	Evidence for
536	zgarfield	Cultural model	Banyoro	In olden times it was unusual for the king to lie ill for any length of time: he would call his medicine-man and from him obtain a cup of poison which he drank and which ended his life in a few minutes.	No evidence	No evidence	Evidence for	No evidence	Evidence against	Evidence for	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence
536	syme	Cultural model	Banyoro	In olden times it was unusual for the king to lie ill for any length of time: he would call his medicine-man and from him obtain a cup of poison which he drank and which ended his life in a few minutes.	No evidence	No evidence	Evidence for	No evidence	Evidence against	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence
537	zgarfield	Cultural model	Bena	"When a man commits suicide, certain precautions must be taken against the evil power believed to remain in the instrument of death and to pervade the scene of the tragedy, endangering the lives of other people. This constitutes an excellent example of the ""infectious"" nature of the supernatural--the malevolent force which induced one suicide, yet another manifestation of the impersonal mulungu, remains active, residing in the objects asociated with the death and capable of exerting its baneful influence on some other victim. A medicine-man is therefore called in to remove the danger. He prepares a concoction in a pot, into which he then puts the rope or weapon used by the suicide. After that he makes the dead man's relatives drink some of the evil-dispelling liquid, with a view to preventing further suicides in the family, and finally he disposes of the rope or weapon by throwing it away into a river or swamp or burying it. Next, the site of the tragedy receives attention. If the man hanged himself from a tree, that tree must go, roots and all. If he killed himself in a house, the building with all its contents must be destroyed. So runs the rule, but common practice diverges somewhat from the strait path. As one informant [p. 130] succinctly put it, ""The house is demolished--if it is a bad one. Its contents and all the dead man's goods are destroyed--unless somebody wants them. Of course, in the old days everybody followed custom strictly."" We take leave to wonder a little about those law-abiding ancestors; from all accounts, neither before nor since can the world have seen such paragons. In the sadly degenerate present, falling a long way short of their heroic forefathers, the Wabena cannot bring themselves to such a pitch of self-sacrifice: fortunate are they that the obliging medicine-man can, for a consideration, dispel the evil power which haunts the infected objects and render them once more harmless and fit for use by ordinary people!"	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
537	syme	Cultural model	Bena	"When a man commits suicide, certain precautions must be taken against the evil power believed to remain in the instrument of death and to pervade the scene of the tragedy, endangering the lives of other people. This constitutes an excellent example of the ""infectious"" nature of the supernatural--the malevolent force which induced one suicide, yet another manifestation of the impersonal mulungu, remains active, residing in the objects asociated with the death and capable of exerting its baneful influence on some other victim. A medicine-man is therefore called in to remove the danger. He prepares a concoction in a pot, into which he then puts the rope or weapon used by the suicide. After that he makes the dead man's relatives drink some of the evil-dispelling liquid, with a view to preventing further suicides in the family, and finally he disposes of the rope or weapon by throwing it away into a river or swamp or burying it. Next, the site of the tragedy receives attention. If the man hanged himself from a tree, that tree must go, roots and all. If he killed himself in a house, the building with all its contents must be destroyed. So runs the rule, but common practice diverges somewhat from the strait path. As one informant [p. 130] succinctly put it, ""The house is demolished--if it is a bad one. Its contents and all the dead man's goods are destroyed--unless somebody wants them. Of course, in the old days everybody followed custom strictly."" We take leave to wonder a little about those law-abiding ancestors; from all accounts, neither before nor since can the world have seen such paragons. In the sadly degenerate present, falling a long way short of their heroic forefathers, the Wabena cannot bring themselves to such a pitch of self-sacrifice: fortunate are they that the obliging medicine-man can, for a consideration, dispel the evil power which haunts the infected objects and render them once more harmless and fit for use by ordinary people!"	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
30	zgarfield	Case	Banyoro	"In 1861, when Speke entered the country of Kitara, Kamrasi was at the height of his power. He ruled until 1870, and when he died his successor Kabarega spent several months fighting with his brothers for the throne. He was the last king to gain his throne by the old custom of fighting and killing all rivals. Emin Pasha spoke very highly of Kabarega, but this monarch had an inveterate dislike of white men and when, at the invitation of king Mwanga of Buganda, Captain Lugard and Mr Jackson, of the Imperial British East Africa Company, entered Buganda in 1890, Kabarega made much trouble by frequent raids on its borders. At length a strong body of British and native troops was sent against him; he was driven from his capital and for some years wandered about the country, constantly fleeing from the British forces. In 1897 Mwanga, having rebelled, was forced to flee from Buganda and joined Kabarega. Some months later both kings were captured and sent into exile. Kabarega fought bravely and was only taken prisoner when his right arm had been shattered and he could no longer fire his gun. His arm was amputated, much against his will, and he made a final attempt to follow the tradition of his ancestors and, when wounded, take his own life. The present king, Andereya, who was then a young man, had been taken prisoner with his father, and during the night after the operation, Kabarega compelled him to tear the bandages from his arm so that he might bleed to death. His plan almost succeeded, but the guard at the door, becoming suspicious, looked in and discovered what was going on. The doctor was summoned and the bleeding stopped. A soldier was placed in charge of Kabarega, and his son was removed to another room and placed under guard."	Evidence for	No evidence	No evidence	Evidence for	Evidence against	Evidence for	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	Evidence for	No evidence	Evidence for
30	syme	Case	Banyoro	"In 1861, when Speke entered the country of Kitara, Kamrasi was at the height of his power. He ruled until 1870, and when he died his successor Kabarega spent several months fighting with his brothers for the throne. He was the last king to gain his throne by the old custom of fighting and killing all rivals. Emin Pasha spoke very highly of Kabarega, but this monarch had an inveterate dislike of white men and when, at the invitation of king Mwanga of Buganda, Captain Lugard and Mr Jackson, of the Imperial British East Africa Company, entered Buganda in 1890, Kabarega made much trouble by frequent raids on its borders. At length a strong body of British and native troops was sent against him; he was driven from his capital and for some years wandered about the country, constantly fleeing from the British forces. In 1897 Mwanga, having rebelled, was forced to flee from Buganda and joined Kabarega. Some months later both kings were captured and sent into exile. Kabarega fought bravely and was only taken prisoner when his right arm had been shattered and he could no longer fire his gun. His arm was amputated, much against his will, and he made a final attempt to follow the tradition of his ancestors and, when wounded, take his own life. The present king, Andereya, who was then a young man, had been taken prisoner with his father, and during the night after the operation, Kabarega compelled him to tear the bandages from his arm so that he might bleed to death. His plan almost succeeded, but the guard at the door, becoming suspicious, looked in and discovered what was going on. The doctor was summoned and the bleeding stopped. A soldier was placed in charge of Kabarega, and his son was removed to another room and placed under guard."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	Evidence against	Evidence for	Evidence for
543	zgarfield	Cultural model	Igbo	"People dying as the result of accident; women dying in childbirth; lunatics, suicides and those who have been murdered, drowned or burned are considered as having come to their untimely ends by ""Onwu Ekwensu"", that is, by the instrumentality of the Devil. None of these may be rubbed with ""ufie"", and they must be disposed of without delay. Should, by chance, any rubbing be done for one of these, it is done with ""edo"", a brilliant yellow stain obtained from wood prepared in the same manner as camwood dye. They must be buried outside the confines of the town as befits those whose death is of the Devil. In the case of a suicide, it is essential, too, that the culprit's house be ceremonially purified."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
543	syme	Cultural model	Igbo	"People dying as the result of accident; women dying in childbirth; lunatics, suicides and those who have been murdered, drowned or burned are considered as having come to their untimely ends by ""Onwu Ekwensu"", that is, by the instrumentality of the Devil. None of these may be rubbed with ""ufie"", and they must be disposed of without delay. Should, by chance, any rubbing be done for one of these, it is done with ""edo"", a brilliant yellow stain obtained from wood prepared in the same manner as camwood dye. They must be buried outside the confines of the town as befits those whose death is of the Devil. In the case of a suicide, it is essential, too, that the culprit's house be ceremonially purified."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
544	zgarfield	Case	Igbo	"In earlier days it used to be related that, in certain parts, it was not unknown for a woman to make arrangements whereby she secured, some time before she died, the consolation of the prospect of a worthy burial. The thought that everything was in order for the attainment of this desired end brought great relief, but it also had its more sinister aspect. The woman had to complete her plans while still capable of doing her part; they could not be postponed too long, that is, until her activities were curtailed by old age. Moreover, by that time, she might find herself impoverished and unable to raise funds. With these thoughts in mind, she consulted with her son, or some male friend, and planned the programme for her funeral. He undertook to fulfil her wishes; she, on her part, compensating him for his trouble, and defraying the calculated cost. When all was settled to her satisfaction, she was content, and signified that she was now ready to die. Generally speaking, the time of waiting was not long--a draught of poison either self-administered, or by the assistance of another person, brought her quietly to her grave. All arrangements for this emergency having been previously ordered, there was no hindrance to the fulfilment of the old woman's wishes. The ""Second Burial"" rites on her behalf could be conducted without undue delay. This is the substance of statements made thirty years ago, but proof to substantiate it is not now forthcoming. At the time, it was stated in all seriousness as being a custom among some of [p. 281] the Ibo people living in the Aguleri-Nando area. Just possibly it might have been an imported idea from the Igarra country."	No evidence	No evidence	No evidence	No evidence	Evidence against	Evidence for	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence
544	syme	Case	Igbo	"In earlier days it used to be related that, in certain parts, it was not unknown for a woman to make arrangements whereby she secured, some time before she died, the consolation of the prospect of a worthy burial. The thought that everything was in order for the attainment of this desired end brought great relief, but it also had its more sinister aspect. The woman had to complete her plans while still capable of doing her part; they could not be postponed too long, that is, until her activities were curtailed by old age. Moreover, by that time, she might find herself impoverished and unable to raise funds. With these thoughts in mind, she consulted with her son, or some male friend, and planned the programme for her funeral. He undertook to fulfil her wishes; she, on her part, compensating him for his trouble, and defraying the calculated cost. When all was settled to her satisfaction, she was content, and signified that she was now ready to die. Generally speaking, the time of waiting was not long--a draught of poison either self-administered, or by the assistance of another person, brought her quietly to her grave. All arrangements for this emergency having been previously ordered, there was no hindrance to the fulfilment of the old woman's wishes. The ""Second Burial"" rites on her behalf could be conducted without undue delay. This is the substance of statements made thirty years ago, but proof to substantiate it is not now forthcoming. At the time, it was stated in all seriousness as being a custom among some of [p. 281] the Ibo people living in the Aguleri-Nando area. Just possibly it might have been an imported idea from the Igarra country."	No evidence	No evidence	Evidence for	No evidence	Evidence against	Evidence for	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence
545	zgarfield	Cultural model	Igbo	"Basden reports that an Ibo woman, bereaved of her husband or child is likely to work herself into a state of frenzy and cannot be left alone lest she injure herself [p.345] or even commit suicide while temporarily insane (1966:270)."	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	Evidence for	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence
545	syme	Cultural model	Igbo	"Basden reports that an Ibo woman, bereaved of her husband or child is likely to work herself into a state of frenzy and cannot be left alone lest she injure herself [p.345] or even commit suicide while temporarily insane (1966:270)."	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence
546	zgarfield	Cultural model	Igbo	"Onitsha people say that the father fears that a son will succumb from ikwa alili if he is punished too severely. Alili refers to a ""wounding"" of the boy's independent spirit which maintains his life; ""to cry from wounded pride"" is how some Onitsha people translate it. When punished unexpectedly, the child feels very piqued and he may pine away and die."	Evidence for	No evidence	No evidence	No evidence	Evidence for	Evidence against	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for
546	syme	Cultural model	Igbo	"Onitsha people say that the father fears that a son will succumb from ikwa alili if he is punished too severely. Alili refers to a ""wounding"" of the boy's independent spirit which maintains his life; ""to cry from wounded pride"" is how some Onitsha people translate it. When punished unexpectedly, the child feels very piqued and he may pine away and die."	No evidence	No evidence	No evidence	No evidence	Evidence for	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence
547	zgarfield	Cultural model	Igbo	"Immediate retaliation was made by the kin of the murdered man on any member of the murderer's kin, and the property of the immediate relatives of the murderer was pillaged. In consequence of this rule the murderer was expected by his own family to commit suicide immediately, in order to save the whole family from attack and their property from spoliation. If the murderer failed to do this, the whole of his kin had to seek refuge in flight. When the anger of the murdered man's kin had subsided, the kin of the murderer could return on condition that the murderer, or some other member of his family, committed suicide."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence against	No evidence	Evidence against	Evidence for	Evidence for
547	syme	Cultural model	Igbo	"Immediate retaliation was made by the kin of the murdered man on any member of the murderer's kin, and the property of the immediate relatives of the murderer was pillaged. In consequence of this rule the murderer was expected by his own family to commit suicide immediately, in order to save the whole family from attack and their property from spoliation. If the murderer failed to do this, the whole of his kin had to seek refuge in flight. When the anger of the murdered man's kin had subsided, the kin of the murderer could return on condition that the murderer, or some other member of his family, committed suicide."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence for	Evidence for	No evidence	No evidence	No evidence	Evidence against	Evidence for	Evidence for
548	zgarfield	Cultural model	Igbo	"(1) But in some cases if a man had become a notorious thief he might be sold to the Aro by his own brother. In others, though a man would refrain from selling a member of his own extended-family, he would have less compunction about selling a member of another extended-family of his own kindred (Oduma). At Awgu the head of a kindred might, at the instance of the elders of the village, order a thief to pack up his things and accompany Aro traders as their slave. Rather than accept this fate many thieves committed suicide."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	Evidence for	Evidence for
