id	coder	content_type	culture	extract	Acquired_ability	Afterlife	Age	Cause	Cause_type	Childhood_adversity	Childhood_adversity_type	Conflict	Conflict_description	Cultural_evaluation	Emic_Etic_Model	Evidence_Mental_Illness	Evidence_of_burdensomeness	Family_History_MI	Family_History_SB	Fantasy_irrational_thought	Fitness_threat	Forgiveness	High_RP	Hoplessness	Knowledge_type_Model	Lethality_n_attempt	Low_RP	Low_level_thinking	Low_self_esteem	MI_family_member	MI_type_family	MI_type_victim	Married	Method	Motive	Motive_better_off_kin	Motive_escape	Motive_harm_others	Motive_leverage	Motive_make_others_better_off	Outcome_better_off	Outcome_change	Outcome_others_harmed	Painful_affect	Passivity	Reduced_inhibition	SA_age	SA_relationship	SA_sex	SB_family_member	Sense_of_burdensomeness	Sex	Target	Target_fitness	Thwarted_belongingness	Traumatic_events	Type_of_SB	age_exact	aggression	ailment_type	ailments	behavioral	case_score	childhood_adversity_description	cognitive	concomitants	dependents	emotional	evidence_hoplessness	family_history	funerary_body	funerary_rites	group_size	mental_illness	outcome	phys_ailments	powerlessness	public_private	ritualized	social_isolation	social_status	type_of_account
4	zgarfield	Case	Akan	"it was that of telling or expecting the person found guilty to commit suicide.(42) The same Rev. Mader reports another case of ""carrying the corpse"", where the ""guilty person"" was a mother of eight children. Through fear of the government-since two soldiers happened to be in town-she was not lynched but socially ostracized. Everybody avoided her. Her relatives told her to take courage and kill herself. She even went to see the paramount chief to ask for her death, but was refused-again for fear of the Government. She was then taken into custody in the house of an elder. There the constant mockery so distressed her, that she finally asked permission to fetch firewood in the bush and there she hanged herself."	Evidence for	x	adult			No evidence	na	No evidence		approvingly	na	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	Evidence against	No evidence	No evidence	No evidence	na	na	na	No evidence	hanging	x	No evidence	Evidence for	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	Evidence for	No evidence	No evidence	na	multiple social doma	na	na	Evidence for	female	x	No evidence	Evidence for	no evidence	completion	x	No evidence	na	no evidence of ailme	x	4	x	x		yes	distressed	x	x	x	not stated	1	x	x	x	Evidence for	private	yes	Evidence for		secondhand
4	syme	Case	Akan	"it was that of telling or expecting the person found guilty to commit suicide.(42) The same Rev. Mader reports another case of ""carrying the corpse"", where the ""guilty person"" was a mother of eight children. Through fear of the government-since two soldiers happened to be in town-she was not lynched but socially ostracized. Everybody avoided her. Her relatives told her to take courage and kill herself. She even went to see the paramount chief to ask for her death, but was refused-again for fear of the Government. She was then taken into custody in the house of an elder. There the constant mockery so distressed her, that she finally asked permission to fetch firewood in the bush and there she hanged herself."																																No evidence				No evidence																																										
5	admin	Cultural model	Akan	After the Colonial Government had stopped this lynching, another form of punishment became more frequent: it was that of telling or expecting the person found guilty to commit suicide.	No evidence	x	na	telling or expecting the person found guilty to commit suicide.	accus_commit wrongdo	No evidence	na	No evidence	x	approvingly	emic	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	popular	No evidence	No evidence	No evidence	No evidence	na	na	na	No evidence	na	x		No evidence	No evidence	No evidence		No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	x	na	na	Evidence for	both	x	No evidence		no evidence	completion	x	No evidence	na	no evidence of ailme	x	x	x	x	x	na	x	x	x	x	not stated	1	x	x	x	Evidence for	na	yes	Evidence for	low	unknown
5	zgarfield	Cultural model	Akan	After the Colonial Government had stopped this lynching, another form of punishment became more frequent: it was that of telling or expecting the person found guilty to commit suicide.	No evidence	x	unknown	x		No evidence	na	Evidence for	x	approvingly	unknown	No evidence	No evidence	No evidence		No evidence	Evidence for	No evidence	No evidence	No evidence	popular	No evidence	No evidence	No evidence	No evidence	na	na	na	No evidence	na	x	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	x	na	na	No evidence	unknown		No evidence	Evidence for	no evidence	unknown	x	No evidence	na	no evidence of ailme	x		x	x		na	x	x	x	x	not stated	1	x	x	x	Evidence for	unknown	yes	Evidence for		na
5	syme	Cultural model	Akan	After the Colonial Government had stopped this lynching, another form of punishment became more frequent: it was that of telling or expecting the person found guilty to commit suicide.																																No evidence				No evidence																																										
6	admin	Case	Akan	"About ten months ago the patient and five of her relatives came to Bredi to drink the shrine-medicine, to ascertain whether any of them had by witchcraft caused the brother's madness (the implication being that they felt themselves innocent and wished for vindication). About six weeks later the patient began sitting about miserably, scratching her body and complaining of headache. She became unable either to work or sleep and was unwilling to speak. When her child approached her she drove it away. Her husband then left her and took the child, whereafter she sat rocking herself, and moaning ""My child, my child"". Then she said she had been ""caught"" by the medicine for witchcraft. She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She also said she had by witchcraft damaged her own womb so that it had borne but one child. The name of her obayi was Huhuke. Then she went into the bush to hang herself but was seen trying to fling the rope round a branch. For about four months she has refused to drink water, saying that when she does she feels the water walking over her head. This is the only absurd thing she has said. She complained of ""basa-basa"" dreams but could not relate them. She always seemed frightened, but could not say of what."	No evidence	x	adult	"She became unable either to work or sleep and was unwilling to speak. When her child approached her she drove it away. Her husband then left her and took the child, whereafter she sat rocking herself, and moaning ""My child, my child"". Then she said she had been ""caught"" by the medicine for witchcraft. She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She also said she had by witchcraft damaged her own womb so that it had borne but one child."	personal conflict,accus_commit wrongdo,rejection,spirit attack	No evidence	na	Evidence for	She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. 	unknown	na	Evidence for	Evidence for	Evidence for	No evidence	Evidence for	Evidence for	No evidence	Evidence against	No evidence	na	Evidence for	Evidence for	No evidence	Evidence for	brother	unknown	depression,gen anxiety disorder	Evidence for	hanging	x		No evidence	No evidence	No evidence		No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	adult	kin	male	na	Evidence for	female	x	Evidence for		no evidence	attempt	x	No evidence	moderate,chronic	headache	not working, scratching her body, rocking, not drinking water	6	x	x	"""damaged womb"""	yes	"""sitting about miserably"", always frightened"	x	"brother's ""madness"""	x	not stated	1	unable to work or sleep, unwilling to speak, headaches, scratching body, not drinking water, bad dreams, always frightened	"""For about four months [after suicide attempt] she has refused to drink water, saying that when she does she feels the water walking over her head. This is the only absurd thing she has said. She complained of ""basa-basa"" dreams but could not relate them. She always seemed frightened, but could not say of what."""	scratching body, headaches	Evidence for	public	no	Evidence for	unknown	firsthand
6	zgarfield	Case	Akan	"About ten months ago the patient and five of her relatives came to Bredi to drink the shrine-medicine, to ascertain whether any of them had by witchcraft caused the brother's madness (the implication being that they felt themselves innocent and wished for vindication). About six weeks later the patient began sitting about miserably, scratching her body and complaining of headache. She became unable either to work or sleep and was unwilling to speak. When her child approached her she drove it away. Her husband then left her and took the child, whereafter she sat rocking herself, and moaning ""My child, my child"". Then she said she had been ""caught"" by the medicine for witchcraft. She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She also said she had by witchcraft damaged her own womb so that it had borne but one child. The name of her obayi was Huhuke. Then she went into the bush to hang herself but was seen trying to fling the rope round a branch. For about four months she has refused to drink water, saying that when she does she feels the water walking over her head. This is the only absurd thing she has said. She complained of ""basa-basa"" dreams but could not relate them. She always seemed frightened, but could not say of what."	Evidence for	x	adult	"she said she had been ""caught"" by the medicine for witchcraft. She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She also said she had by witchcraft damaged her own womb so that it had borne but one child. "		No evidence	na	Evidence for	x	unknown	na	Evidence for	Evidence against	No evidence	No evidence	Evidence for	Evidence for	No evidence	Evidence for	No evidence	na	Evidence for	Evidence against	Evidence for	No evidence	na	na	depression,gen anxiety disorder	Evidence for	hanging,starvation	end of pain 	Evidence against	Evidence for	Evidence against		Evidence against	Evidence against	No evidence	Evidence against	Evidence for	No evidence	No evidence	na	kin	na	na	Evidence for	female		No evidence	Evidence for	no evidence	attempt	x	Evidence against	severe	headache	drank the shrine-medicine	4	x	"She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She complained of ""basa-basa"" dreams "		yes	depression (?) headache, 	x	x	x	not stated	1	"the patient began sitting about miserably, scratching her body and complaining of headache. She became unable either to work or sleep and was unwilling to speak. When her child approached her she drove it awayshe sat rocking herself, and moaning ""My child, my child"""	Then she went into the bush to hang herself but was seen trying to fling the rope round a branch. For about four months she has refused to drink water, saying that when she does she feels the water walking over her head.	headache, damaged womb 	Evidence for	na	no	Evidence for		firsthand
6	syme	Case	Akan	"About ten months ago the patient and five of her relatives came to Bredi to drink the shrine-medicine, to ascertain whether any of them had by witchcraft caused the brother's madness (the implication being that they felt themselves innocent and wished for vindication). About six weeks later the patient began sitting about miserably, scratching her body and complaining of headache. She became unable either to work or sleep and was unwilling to speak. When her child approached her she drove it away. Her husband then left her and took the child, whereafter she sat rocking herself, and moaning ""My child, my child"". Then she said she had been ""caught"" by the medicine for witchcraft. She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She also said she had by witchcraft damaged her own womb so that it had borne but one child. The name of her obayi was Huhuke. Then she went into the bush to hang herself but was seen trying to fling the rope round a branch. For about four months she has refused to drink water, saying that when she does she feels the water walking over her head. This is the only absurd thing she has said. She complained of ""basa-basa"" dreams but could not relate them. She always seemed frightened, but could not say of what."																																No evidence				No evidence																																										
7	zgarfield	Cultural model	Akan	Those who met inauspicious deaths (atofo), including those who killed themselves, showed by the manner of their [p. 38] deaths that they were guilty of some hidden offence (and a suicide could be tried after death).	No evidence	x	unknown	x		No evidence	na	No evidence	x	disapprovingly	emic	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	popular	No evidence	No evidence	No evidence	No evidence	na	na	na	No evidence	na	x	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	x	na	na	No evidence	unknown		No evidence	Evidence for	no evidence	unknown	x	No evidence	na	no evidence of ailme	x		x	x		na	x	x	x	and a suicide could be tried after death.	na	1	x	x	x	No evidence	na	na	No evidence		na
7	syme	Cultural model	Akan	Those who met inauspicious deaths (atofo), including those who killed themselves, showed by the manner of their [p. 38] deaths that they were guilty of some hidden offence (and a suicide could be tried after death).	No evidence	x	unknown	Those who met inauspicious deaths (atofo), including those who killed themselves, showed by the manner of their [p. 38] deaths that they were guilty of some hidden offence (and a suicide could be tried after death).	accus_commit wrongdo	No evidence	na	No evidence	x	disapprovingly,ambivalently	emic	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	popular	No evidence	No evidence	No evidence	No evidence	na	na	na	No evidence	not stated	x	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	x	na	na	Evidence for	both	x	No evidence		no evidence	completion	x	No evidence	na	no evidence of ailme	x	x	x	x	x	na	x	x	x	x	not stated	1	x	" Those who met inauspicious deaths (atofo), including those who killed themselves, showed by the manner of their [p. 38] deaths that they were guilty of some hidden offence (and a suicide could be tried after death).

assumed guilty"	x	No evidence	unknown	no	No evidence	unknown	na
8	zgarfield	Case	Akan	Yeboa, no doubt, committed suicide as is the custom when a king has failed his people...	Evidence for	x	adult	 as is the custom when a king has failed his people	military defeat	No evidence	na	Evidence for	 as is the custom when a king has failed his people	approvingly		No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for	No evidence		No evidence	Evidence against	No evidence	No evidence	na	na	na	No evidence	not stated	 as is the custom when a king has failed his people	Evidence against	Evidence against	Evidence against	Evidence against	Evidence against	Evidence against	Evidence against	No evidence	Evidence against	No evidence	No evidence	na	outgroup	both	na	No evidence	male		Evidence against	Evidence for	war,combat,witness violence,perpetrate violence	completion	x	Evidence for	na	no evidence of ailme	x	2	x	x		unknown	x	x	x	x	not stated	1	x	x	x	Evidence for	unknown	yes	Evidence for		firsthand
8	syme	Case	Akan	Yeboa, no doubt, committed suicide as is the custom when a king has failed his people...	Evidence for	x	adult	Yeboa, no doubt, committed suicide as is the custom when a king has failed his people...	loss social position	No evidence	na	No evidence	x	approvingly	na	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	na	No evidence	Evidence against	No evidence	No evidence	na	na	na	No evidence	not stated	x	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	multiple social domains	na	na	Evidence for	male	x	No evidence		no evidence	completion	x	No evidence	na	no evidence of ailme	x	2	x	x	x	unknown	x	x	x	x	not stated	1	x	x	x	Evidence for	unknown	yes	Evidence for	low	unknown
10	zgarfield	Case	Akan	When the Ashanti found the co-ruler still adorned with a profusion of gold ornaments, they believed he was the Bonohene, and they thought it fitting to carry him to Kumasi in state so that the people could see what a mighty king they had captured. He was therefore carried in a litter, attended by as many servants as the Ashanti could find for him. When they passed the sacred rock at Tanoboase, the co-ruler was allowed to rest there and sit in the cave, and the remnants of the vessels from which he ate and drank are still there today. Later he asked for his kete drums, which he had not heard played since the disaster, and a servant was sent to Manso to look for them. The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman. A small undecorated earth dome, no more than about two feet in diameter, marks the place where he is said to lie; a poor grave for a king who was once so wealthy and great. The Queenmother Dwambara Akenten hid near Amona, a few miles north of Manso, from where she secretly ruled the remnants of her people for another two years, then she died. Her sister, her co-ruler who had hidden near Boyem with some of the princes and princesses, was betrayed and taken into captivity to Kumasi, where she gave herself out as the Bonohemmaa.	Evidence for	x	adult	the people could see what a mighty king they had captured	military defeat	No evidence	na	Evidence for	the people could see what a mighty king they had captured	approvingly		No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for	No evidence		Evidence against	Evidence against	No evidence	No evidence	na	na	na	No evidence	na	military defeat	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	social superior	na	na	Evidence against	male		No evidence	Evidence for	war,witness violence,perpetrate violence	completion	x	Evidence for	na	no evidence of ailme	x	2	x	x		unknown	x	x	x	x	not stated	1	x	The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman.	x	Evidence for	private	yes	Evidence for		firsthand
10	syme	Case	Akan	When the Ashanti found the co-ruler still adorned with a profusion of gold ornaments, they believed he was the Bonohene, and they thought it fitting to carry him to Kumasi in state so that the people could see what a mighty king they had captured. He was therefore carried in a litter, attended by as many servants as the Ashanti could find for him. When they passed the sacred rock at Tanoboase, the co-ruler was allowed to rest there and sit in the cave, and the remnants of the vessels from which he ate and drank are still there today. Later he asked for his kete drums, which he had not heard played since the disaster, and a servant was sent to Manso to look for them. The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman. A small undecorated earth dome, no more than about two feet in diameter, marks the place where he is said to lie; a poor grave for a king who was once so wealthy and great. The Queenmother Dwambara Akenten hid near Amona, a few miles north of Manso, from where she secretly ruled the remnants of her people for another two years, then she died. Her sister, her co-ruler who had hidden near Boyem with some of the princes and princesses, was betrayed and taken into captivity to Kumasi, where she gave herself out as the Bonohemmaa.	Evidence for	x	adult	When the Ashanti found the co-ruler still adorned with a profusion of gold ornaments, they believed he was the Bonohene, and they thought it fitting to carry him to Kumasi in state so that the people could see what a mighty king they had captured. He was therefore carried in a litter, attended by as many servants as the Ashanti could find for him. When they passed the sacred rock at Tanoboase, the co-ruler was allowed to rest there and sit in the cave, and the remnants of the vessels from which he ate and drank are still there today. Later he asked for his kete drums, which he had not heard played since the disaster, and a servant was sent to Manso to look for them. The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman.	enslavement_capture,military defeat,loss social position	No evidence	na	Evidence for	When the Ashanti found the co-ruler still adorned with a profusion of gold ornaments, they believed he was the Bonohene, and they thought it fitting to carry him to Kumasi in state so that the people could see what a mighty king they had captured. He was therefore carried in a litter, attended by as many servants as the Ashanti could find for him. When they passed the sacred rock at Tanoboase, the co-ruler was allowed to rest there and sit in the cave, and the remnants of the vessels from which he ate and drank are still there today. Later he asked for his kete drums, which he had not heard played since the disaster, and a servant was sent to Manso to look for them. The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman.	approvingly	na	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for		Evidence for	No evidence	na	No evidence	Evidence against	No evidence	No evidence	na	na	na	No evidence	not stated	x	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	outgroup	na	na	Evidence for	male	x	Evidence against		war	completion	x	Evidence for	na	no evidence of ailme	x	3	x	x	servant followed	unknown	x	x	x	 A small undecorated earth dome, no more than about two feet in diameter, marks the place where he is said to lie; a poor grave for a king who was once so wealthy and great. The Queenmother Dwambara Akenten hid near Amona, a few miles north of Manso, from where she secretly ruled the remnants of her people for another two years, then she died. Her sister, her co-ruler who had hidden near Boyem with some of the princes and princesses, was betrayed and taken into captivity to Kumasi, where she gave herself out as the Bonohemmaa.	not stated	1	x	The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman. A small undecorated earth dome, no more than about two feet in diameter, marks the place where he is said to lie; a poor grave for a king who was once so wealthy and great. 	x	Evidence for	public	unknown	Evidence against	low	unknown
