id,Cause_type2
175,"group_conflict,military_defeat,fear of rape"
176,"interpersonal_confli,labor exploitation"
177,unknown
178,interpersonal_confli
179,"interpersonal_confli,resource_loss,forced marriage"
180,"interpersonal_confli,family tension"
181,"interpersonal_confli,family tension"
182,interpersonal_confli
183,"senility,loneliness"
184,"interpersonal_confli,death_loved_one,family tension"
186,"alienation,anomie/social tensio"
189,"rejection,failed romantic rela"
190,illness
191,"enslavement_capture,accus_commit_wrongdo,imprisonment"
192,spirit_attack
194,spirit_attack
195,spirit_attack
196,spirit_attack
199,"psychological distre,emotional distress"
200,"accus_commit_wrongdo,psychological distre"
201,"interpersonal_confli,thwarted marriage"
202,"interpersonal_confli,accus_commit_wrongdo,ridicule"
203,"interpersonal_confli,accus_commit_wrongdo,psychological distre"
204,"psychological distre,emotional distress"
205,"accus_commit_wrongdo,ridicule,physical abuse"
206,unknown
207,"interpersonal_confli,emotional distress"
208,"interpersonal_confli,resource_loss"
209,mental illness
216,"interpersonal_confli,group_conflict,enslavement_capture,accus_commit_wrongdo,fear of imprisonment,betrayal"
217,"interpersonal_confli,forced marriage"
218,"accus_commit_wrongdo,loss_social_position,ridicule,alienation,commit adultry,divorce or attempted"
219,death_loved_one
220,"interpersonal_confli,thwarted marriage"
221,death_loved_one
222,"rejection,disappointment in ma,unfaithful spouse,divorce or attempted"
223,accus_commit_wrongdo
224,"disfigurement,commit adultry"
225,"accus_commit_wrongdo,fear of imprisonment"
230,unknown
231,unknown
233,mental illness
234,"infirmity,no or low contributi"
235,alienation
236,alienation
237,"infirmity,ridicule,no or low contributi"
238,"interpersonal_confli,accus_commit_wrongdo,commit adultry"
239,"infirmity,no or low contributi"
240,emotional distress
241,illness
247,"interpersonal_confli,ridicule"
248,senility
249,"interpersonal_confli,accus_commit_wrongdo,ridicule"
251,"senility,illness"
252,"group_conflict,unknown"
253,"ridicule,unfaithful spouse,divorce or attempted"
254,alienation
255,mental illness
256,unknown
257,interpersonal_confli
258,"interpersonal_confli,unfaithful spouse,commit adultry"
259,"interpersonal_confli,thwarted marriage"
260,interpersonal_confli
261,unknown
262,illness
263,interpersonal_confli
264,interpersonal_confli
266,"interpersonal_confli,ridicule,mental illness,emotional distress"
267,"interpersonal_confli,ridicule"
268,"mental illness,emotional distress"
269,"resource_loss,ridicule"
273,"interpersonal_confli,forced marriage"
295,interpersonal_confli
296,"spirit_attack,senility"
297,"death_loved_one,emotional distress"
298,death_loved_one
300,"interpersonal_confli,physical abuse"
301,interpersonal_confli
303,"interpersonal_confli,spirit_attack,imprisonment,no or low contributi,emotional distress"
305,unknown
306,psychological distre
307,anomie/social tensio
308,anomie/social tensio
309,unknown
310,unknown
311,"interpersonal_confli,neglect"
312,"ridicule,physical abuse"
314,"rape,incest"
315,unknown
317,imprisonment
318,"disease outbreak,failure or sense of,infirmity,illness,no or low contributi"
319,"accus_commit_wrongdo,ridicule"
320,"rejection,failed romantic rela"
321,no or low contributi
323,unknown
324,"interpersonal_confli,family tension"
336,"interpersonal_confli,rape,fear of rape"
337,"interpersonal_confli,thwarted marriage"
338,failed romantic rela
339,"interpersonal_confli,failed romantic rela"
340,accus_commit_wrongdo
341,"accus_commit_wrongdo,imprisonment"
342,interpersonal_confli
344,"interpersonal_confli,ridicule"
345,interpersonal_confli
346,death_loved_one
347,family shame
349,"interpersonal_confli,ridicule"
350,unknown
351,"accus_commit_wrongdo,ridicule"
352,"interpersonal_confli,ridicule"
353,"interpersonal_confli,ridicule"
355,"interpersonal_confli,thwarted purpose"
357,"interpersonal_confli,group_conflict,unfaithful spouse,significant loss soc"
358,accus_commit_wrongdo
367,ridicule
368,death_loved_one
369,"accus_commit_wrongdo,fear of revenge"
370,failed romantic rela
371,"interpersonal_confli,ridicule"
372,"interpersonal_confli,ridicule"
374,"interpersonal_confli,accus_commit_wrongdo,ridicule,failed romantic rela"
375,unknown
376,"interpersonal_confli,accus_commit_wrongdo,fear of revenge"
378,"interpersonal_confli,thwarted marriage"
379,interpersonal_confli
380,"rejection,ridicule"
381,interpersonal_confli
383,"interpersonal_confli,ridicule"
384,rejection
385,"interpersonal_confli,rejection"
386,interpersonal_confli
387,interpersonal_confli
389,"interpersonal_confli,ridicule,family tension"
390,"interpersonal_confli,failed romantic rela"
391,"interpersonal_confli,accus_commit_wrongdo,gambling loss"
392,"interpersonal_confli,accus_commit_wrongdo"
393,"interpersonal_confli,accus_commit_wrongdo,ridicule"
394,interpersonal_confli
406,death_loved_one
407,mental illness
408,"interpersonal_confli,accus_commit_wrongdo"
409,"mental illness,pregnancy"
410,mental illness
412,"psychological distre,trauma to loved one"
413,interpersonal_confli
414,unknown
415,"interpersonal_confli,ridicule"
416,group_conflict
417,"interpersonal_confli,accus_commit_wrongdo,ridicule"
418,"interpersonal_confli,ridicule"
419,"illness,natural disaster"
420,"illness,natural disaster"
421,"interpersonal_confli,accus_commit_wrongdo"
422,"interpersonal_confli,failure or sense of"
423,unknown
424,"infirmity,senility,loneliness"
425,"accus_commit_wrongdo,ridicule,fear of revenge"
426,"interpersonal_confli,accus_commit_wrongdo,ridicule"
427,"interpersonal_confli,ridicule"
428,"interpersonal_confli,family tension"
429,ridicule
431,interpersonal_confli
432,"interpersonal_confli,thwarted marriage"
433,failure or sense of
434,"interpersonal_confli,thwarted marriage"
435,fear of illness disf
436,interpersonal_confli
437,unknown
439,"rejection,ridicule,alienation"
441,"accus_commit_wrongdo,ridicule,commit adultry"
442,"accus_commit_wrongdo,ridicule,incest"
443,"interpersonal_confli,accus_commit_wrongdo,ridicule,commit adultry"
444,"interpersonal_confli,unfaithful spouse,physical abuse"
445,"interpersonal_confli,accus_commit_wrongdo,physical abuse"
446,"interpersonal_confli,forced marriage,ridicule,divorce or attempted"
448,"interpersonal_confli,accus_commit_wrongdo,thwarted marriage,incest"
449,"interpersonal_confli,accus_commit_wrongdo,thwarted marriage,ridicule,incest"
450,"accus_commit_wrongdo,thwarted marriage,ridicule,incest"
451,"interpersonal_confli,accus_commit_wrongdo,public humiliation,ridicule"
452,unknown
453,interpersonal_confli
454,unknown
455,"interpersonal_confli,thwarted purpose,alienation"
457,accus_commit_wrongdo
458,unknown
460,"death_loved_one,emotional distress"
461,failed romantic rela
462,emotional distress
464,"accus_commit_wrongdo,ridicule,commit adultry"
465,"interpersonal_confli,enslavement_capture,labor exploitation,physical abuse"
469,unknown
471,anomie/social tensio
473,"accus_commit_wrongdo,emotional distress"
474,inability to have ch
475,"interpersonal_confli,death_loved_one,rejection,failure or sense of,commit adultry,divorce or attempted"
476,"interpersonal_confli,fear of revenge"
477,"interpersonal_confli,failed romantic rela"
478,boredom
479,unknown
480,unknown
481,"rejection,failed romantic rela"
482,unknown
483,interpersonal_confli
494,unknown
495,death_loved_one
496,"interpersonal_confli,thwarted marriage"
497,interpersonal_confli
498,"interpersonal_confli,unfaithful spouse"
499,group_conflict
500,interpersonal_confli
501,interpersonal_confli
503,"accus_commit_wrongdo,mental illness"
504,accus_commit_wrongdo
515,"spirit_attack,mental illness"
516,accus_commit_wrongdo
518,unknown
540,unknown
541,spirit_attack
542,unknown
571,"rejection,failed romantic rela"
579,interpersonal_confli
581,"disease outbreak,illness,trauma to loved one"
582,"accus_commit_wrongdo,rejection,ridicule,disappointment in ma,divorce or attempted"
594,unknown
627,unknown
630,"rape,incest"
631,unknown
635,"interpersonal_confli,ridicule"
636,"interpersonal_confli,disappointment in ma"
638,unknown
648,"death_loved_one,family shame"
658,"interpersonal_confli,thwarted marriage"
659,interpersonal_confli
672,unknown
673,"resource_loss,natural disaster"
674,natural disaster
675,unknown
676,"interpersonal_confli,accus_commit_wrongdo"
677,accus_commit_wrongdo
758,unknown
759,unknown
760,"accus_commit_wrongdo,spirit_attack"
761,unknown
762,"accus_commit_wrongdo,ridicule"
763,"interpersonal_confli,owed debt"
764,"military_defeat,failure or sense of"
765,unknown
766,"group_conflict,anomie/social tensio"
767,political unrest
768,spirit_attack
769,interpersonal_confli
770,"accus_commit_wrongdo,ridicule"
772,"accus_commit_wrongdo,imprisonment"
773,unknown
774,no or low contributi
775,"interpersonal_confli,accus_commit_wrongdo,imprisonment,betrayal"
776,"interpersonal_confli,forced marriage"
777,unknown
786,unknown
787,unknown
788,unknown
807,interpersonal_confli
810,unknown
811,unknown
817,"interpersonal_confli,forced marriage,bring in cowife"
818,"group_conflict,enslavement_capture,ridicule"
819,unknown
820,unknown
821,bodily trauma
822,"accus_commit_wrongdo,ridicule,rape"
823,"military_defeat,loss_social_position,political unrest,thwarted purpose"
824,death_loved_one
825,"interpersonal_confli,disappointment in ma,family tension"
826,"interpersonal_confli,forced marriage"
828,"public humiliation,physical abuse"
830,"interpersonal_confli,warn others"
831,"group_conflict,thwarted purpose"
832,"death_loved_one,failed romantic rela"
833,"group_conflict,fear of rape"
834,death_loved_one
835,"senility,no or low contributi"
836,"interpersonal_confli,accus_commit_wrongdo"
837,interpersonal_confli
838,"interpersonal_confli,loss_social_position,resource_loss,separation from love,commit adultry"
839,accus_commit_wrongdo
840,"group_conflict,enslavement_capture,accus_commit_wrongdo,imprisonment"
841,interpersonal_confli
842,thwarted marriage
843,unknown
844,"interpersonal_confli,forced marriage"
845,"interpersonal_confli,commit adultry,loss of children,divorce or attempted"
846,"interpersonal_confli,unfaithful spouse"
847,interpersonal_confli
1053,death_loved_one
1054,"interpersonal_confli,forced marriage"
1541,emotional distress
1542,unknown
1543,interpersonal_confli
1544,interpersonal_confli
1545,"spirit_attack,mental illness"
1546,"interpersonal_confli,spirit_attack"
1654,"interpersonal_confli,death_loved_one,commit adultry"
1655,"interpersonal_confli,death_loved_one,failure or sense of"
1790,"interpersonal_confli,accus_commit_wrongdo,rejection,spirit_attack,rape"
1808,"interpersonal_confli,forced marriage,disappointment in ma,divorce or attempted"
1809,accus_commit_wrongdo
1816,"interpersonal_confli,accus_commit_wrongdo,spirit_attack,ridicule"
1862,"interpersonal_confli,family tension,emotional distress"
1863,"interpersonal_confli,accus_commit_wrongdo"
1864,interpersonal_confli
1869,unknown
1870,death_loved_one
1871,"interpersonal_confli,unfaithful spouse"
1872,unknown
1873,unknown
1874,"interpersonal_confli,family tension"
1875,"interpersonal_confli,disappointment in ma"
1876,"interpersonal_confli,family tension"
1877,"group_conflict,political unrest"
1878,"interpersonal_confli,unfaithful spouse"
1879,accus_commit_wrongdo
1880,"interpersonal_confli,accus_commit_wrongdo"
1881,"interpersonal_confli,accus_commit_wrongdo"
1882,"interpersonal_confli,loss_social_position"
1883,"group_conflict,military_defeat"
1884,"group_conflict,military_defeat"
1885,illness
1886,mental illness
1887,mental illness
1888,unknown
1889,"interpersonal_confli,failed romantic rela,disappointment in ma"
1890,"interpersonal_confli,loss_social_position"
1891,"interpersonal_confli,death_loved_one,failed romantic rela,disappointment in ma"
1892,"interpersonal_confli,accus_commit_wrongdo,rejection,loss_social_position,ridicule,unfaithful spouse"
1893,"group_conflict,political unrest"
1895,"disease outbreak,illness,bodily trauma"
1896,"group_conflict,enslavement_capture,fear of imprisonment"
1897,"group_conflict,fear of imprisonment,no or low contributi"
1899,"death_loved_one,failed romantic rela,disappointment in ma"
1900,unknown
1901,"interpersonal_confli,thwarted marriage,commit adultry"
1902,"interpersonal_confli,thwarted marriage"
1904,mental illness
1905,infirmity
1906,"interpersonal_confli,accus_commit_wrongdo,inability to have ch"
1908,unknown
1655b,"interpersonal_confli,death_loved_one"
1906b,"interpersonal_confli,accus_commit_wrongdo"
a,unknown
b,unknown
c,"interpersonal_confli,death_loved_one,rejection"
d,"interpersonal_confli,adultery,unfaithful spouse,physical abuse"
e,interpersonal_confli
f,"group_conflict,anomie/social tensio"
h,"interpersonal_confli,failure or sense of,psychological distre,loneliness,alienation"
i,"interpersonal_confli,family tension,neglect"
j,interpersonal_confli
k,"failure or sense of,boredom"
