id,coder,content_type,culture,extract,Cause_type
17,calsbeek,Case,Akan,"Reindorf mentions a somewhat significant occurrence at [p.82] this time, namely, a riot at Cape Coast Castle, between the followers of some Wassaw chiefs, who had been assembled there to ratify the terms of this same Asanti treaty, after it had been previously discussed at Accra. Maclean immediately suppressed the disturbance, ""and ordered that a hundred lashes should be given to each of the chiefs who allowed their people to fight."" Boampong, one of the chiefs who suffered this indignity, committed suicide that same day. Since then, not infrequently have persons in authority been fined and otherwise punished by the Government for acts they had not ordered to be done, or, for not doing what the Government had declared the doing to be unlawful.","group_conflict,accus_commit_wrongdo,bodily trauma"
18,calsbeek,Case,Akan,"Purification RiteWhen a queen-mother is satisfied that a girl is, or has been, guilty of kyiribra, she summons her parents to appear before her and she officially informs them of their daughter's misbehaviour. She impresses upon them the horrible nature of her [Page 50] moral depravity, and then orders them to have the ceremony of purification (of the girl, her lover and the community) performed, and this takes place outside the queen-mother's palace. In Offinso and some other chiefdoms, the girl is, in the first instance, taken to the paramount chief; and if the identity of the lover is known, he too is ordered to appear at the chief's house. The boy and girl are compelled to pay a certain amount of money 6 which their parents provide, if only because in the eyes of the people, the parents bear the blame of the offence equally with their children, as it demonstrates the inadequacy of the parental education they received. With the money, the spokesman of the chief purchases a sheep or two, a bottle of palm-oil, a small white chick (preferably just hatched), a pot of water and eggs. Then prayers are said to pacify the spiritual beings so outrageously offended. An old woman is selected to shave the recalcitrant girl, after which the leaf of a plant called damram, which is very red in colour is shown to the girl with the words: S akwadaa rep ade k[unavailable]k[unavailable][unavailable] ahw a yde damram ahahan kyer no. If a child insists on seeing something red, it is shown the leaf of damram. Red is symbolic of danger, 7 and so it is bad for a child to want to behold it. This common saying therefore is tantamount to a curse to the effect that a bad child (in this case, the girl) who only does dangerous and forbidden things, should be prepared for the consequences of its action. The girl's palms are then joined together and the red leaf is inserted between them. Ethnophysics (822) Purification and atonement (783) Sex and marital offenses (684) Ethnobotany (824) Then she is seated on the ground under the akusia tree which is usually found standing in front of the chief's house, and under which, in the past, criminals are said to have been executed. In full view of the crowd, she is stripped naked, except for a loin-cloth, and her legs are stretched and separated as widely as possible. A sheep is held over her head, and, fiercely brandishing his sword and chanting some incantations (the words of which no informant knew, presumably because they are a professional secret), an executioner slaughters it, allowing its blood to gush onto the girl's head and trickle down her body. According to one informant, for the purification to be effective at all, blood should run down the girl's genitals. Otherwise the ceremony would be considered unsuccessful and another sheep would have to be killed. This information can hardly be disputed as it is the best explanation for the separation of legs which appears to be a general rule in the kyiribra ceremony. An old woman reports from Kumasi that about ten years ago, one Adwoa Pinaman, daughter of Abenaa Konadu, committed kyiribra in a village four miles from the city and was dealt with in the manner described. Not long after Adwoa Pinaman's return from the bush, she died, and was soon followed by her child. The old woman is sure that it was a deep sense of shame that so abruptly put an end to the girl's life.",unknown
19,calsbeek,Cultural model,Akan,"Shame Resulting from Kyiribra--On the return of the boy and girl from the forest, the elders of the village call them and advise them to take care that nothing like their offence may occur to them again. In principle the advice closes the case, but the disgrace into which the offence has drawn the girl and her relatives is at times too much to bear resignedly and sooner or later may lead to her death or insanity.",unknown
20,calsbeek,Cultural model,Akan,It [suicide] was praiseworthy if done in war....,unknown
21,calsbeek,Cultural model,Akan,It [suicide] was praiseworthy if...done to follow one's master to the spirit land....,unknown
23,calsbeek,Cultural model,Akan,It [suicide] was a sin when done to avoid the consequence of a bad deed....,unknown
24,calsbeek,Cultural model,Akan,Drunkenness was considered no excuse for murder or suicide.,unknown
25,calsbeek,Cultural model,Akan,Among the many suicides were those who felt themselves to have invited the displeasure or envy of the gods.,fear of supernatural
26,calsbeek,Cultural model,Akan,"Asantes ""who are weary of their lives"" have, he wrote, an easy method of committing suicide, without soiling their own hand with their blood. They have only to swear by the king's law or oath that they must be killed, and they are killed accordingly. Many poor wretches avail themselves of this gloomy release, from the oppressions under which they have hopelessly struggled.","psychological distre,emotional distress"
27,calsbeek,Case,Azande,"Gbndi, of the Akowe clan, who lived in the next settlement to ours, slept with his wife when she was keeping taboos of vengeance. When it was known what he had done he was so humiliated that he told his neighbours he was going to commit suicide. He disappeared for three days and was then discovered in the bush by his friends who brought him home 'in honour', and the esteem they showed him wiped out the disgrace. A Zande commented at the time, 'A man who really intends to commit suicide does not tell people of his intentions.","interpersonal_confli,spirit_attack,disappointment in ma,family shame,emotional distress"
28,calsbeek,Case,Azande,"""Amongst other things he [JMA: i.e. Zemio, a Zande chief] told me that the custom of purchasing a bride with thirty or forty or more spearheads, paid to the father, was confined to the lower circles. When a man of princely rank woos the daughter of a foreign ruler (and all are mostly foreign, rarely visiting each other), everything is formally transacted through go-betweens. The wooing must be preceded by repeated messages, with friendly gifts for the father, who thus becomes aware of the suitor's intentions. If the presents correspond to his expectations, he sends the girl straight to the bridegroom. Then should she be rejected for any reason, the disgrace falls on the father, who has to return all the presents. Zemio's eldest daughter, who had formerly resided amongst the Arabs, was at present living near her father, to whom she caused much annoyance by obstinately refusing to accept a husband at his hands. She even attempted to commit suicide to escape his importunities, an extremely rare occurrence amongst Negroes.""",forced marriage
34,calsbeek,Case,Ganda,"The Fallers (in Bohannan 1960, p. 79) report that of 69 men in neighbouring Busoga who committed suicide in 1952-54, 8 were thought to have done so because of impotence.","failure or sense of ,infirmity,inability to have ch"
35,calsbeek,Cultural model,Ganda,"An impotent man may commit suicide because he will no longer have any control over his wives who might well leave him. In such a case, of course it is possible that a depressive illness brings both the impotence and the suicide.","interpersonal_confli,infirmity,failed romantic rela,mental illness,inability to have ch"
36,calsbeek,Case,Ganda,"Bohannan (1963) reports on four tribes in Uganda, including the Basoga and Banyoro who are neighbours of the Baganda. Both share the abhorrence for suicide with the Baganda and treat it in similar ways. In Busoga out of 100 cases 20% were said to be due to chronic illness, excluding insanity and impotence, and the number is even greater amongst the Gisu.",illness
38,calsbeek,Cultural model,Ganda,"...but Baganda also recognise that someone may kill himself after becoming angry as a result of a quarrel (Note 35). It is considered that some form of spirit must make a person kill him self. The act itself is thought to derive from the heart....The body of a suicide is feared, and in a sense suicide [p. 40] is treated as contagious in that no one of the same clan should touch the body lest its ghost enter him and he should also be tempted to commit suicide.","interpersonal_confli,spirit_attack,emotional distress"
39,calsbeek,Case,Ganda,"The Baganda were very superstitious about suicides. They took innumerable precautions to remove the body and destroy the ghost, to prevent the latter from causing further trouble. Shame for crime committed led to suicide, but this occurred rarely in any section of the community, and most rarely among women. When a man committed suicide, he hanged himself on a tree in his garden or in his house. In the former case the body was cut down, and the tree felled also; then both the tree and the corpse, the latter tied to a pole like the carcase of an animal, were taken to a distant place [p. 21] where cross-roads met, and the body was burned, the tree being used for the firewood. In the latter case the house was pulled down, and the materials were taken with the body and burned in the road. People feared to live in a house in which a suicide had taken place, lest they too should be tempted to commit the same crime. Those who burned the corpse washed their hands carefully at the place of burning with sponges made from the plantains, and threw them on the pyre. When women passed the place where a suicide had been burned, they threw grass or sticks upon the heap, to prevent the ghost from entering into them and being reborn. The idea in burning the body was if possible to destroy the ghost. (pg. 289) A suicide's body was burnt on waste land by the roadside, or at cross-roads, in order to destroy the ghost. If the suicide had not been a person of any consequence and his relatives did not claim his body, it was burnt to dust; if, however, he had been a person of some position, and his relatives claimed the body, it was first charred by fire before it was handed over to them. If the deed had been committed in a house, the house was also burnt; and if he had hanged himself on a tree, the tree was torn up by its roots and burnt with the body. In this way the ghost was thought to be destroyed, so that it could not tempt any other person to commit suicide. Everyone passing the spot where the body of a suicide had been burned took the precaution to throw some grass, or a few sticks, on the place, so as to prevent the ghost from catching him, in case it had not been destroyed.","accus_commit_wrongdo,spirit_attack"
41,calsbeek,Cultural model,Hausa,"Informants related that in pre-British days, complete deadlock between a girl and her parents concerning the choice of a husband for her first marriage was very rare, but if it occurred was resolved by the girl's throwing herself down a well--the only instances of suicide which were encountered, despite continual enquiry.","forced marriage,family tension"
45,calsbeek,Case,Kanuri,"Other informants tell stories of men demeaning themselves because of their emotional involvement with a particular woman. These stories usually involve a wife who has run away to her luwali or is threatening to do so. The man then spends all his money on gifts for her, hoping to make her stay--but she still leaves. In one such story, the man finally went to the Emir and said he was going to commit suicide (an almost unheard of thing in Bornu) unless he could get his wife to return. (The traditionally legal way to do this is for the Shehu [Emir] to declare the woman to be his own slave, thereby depriving her of any legal rights--then the Shehu gives the wife as a gift to her former husband.)",unknown
46,calsbeek,Cultural model,Libyan Bedouin,"Women have less recourse against tyrannical fathers or guardians, but various informal means to resist the imposition of unwanted decisions do exist. As a last resort there is always suicide, and I heard of a number of both young men and women who committed suicide in desperate resistance to their fathers' decisions, especially regarding marriage.","interpersonal_confli,forced marriage,family tension"
48,calsbeek,Case,Lozi,"Suicides and Attempted Suicides These numbered 27, and were distributed between the four districts in much the same proportions as were the witchcraft cases. Only one attempt proved unsuccessful; whether this was because of the method chosen or whether other failures passed unnoticed is unknown. All but one of the cases occurred in the home district of the person concerned, and all cases concerned Barotse residents, not foreigners. There was a fairly even balance between the sexes, 15 males and 12 females. Possibly, the high proportion of females may be taken to mean that mest accusations were of practising black rather than white magic. The number of headmen involved amounted to 7 per cent, rather a low figure but probably because the sample was small. No chiefs orindunas , and only 2 headmen, were involved. The remaining cases concerned ordinary villagers, neither employees nor independent businessmen. All but three of the suicides are known to have acted through fear of being accused of, or arrested for witchcraft practices. The rest probably feared such arrest...That the desire for escape from what must have appeared an impossible situation was very strong, is shown by the fact that seven of the intending suicides escaped from custody in order to kill themselves. The number of suicides that occurred during and perhaps as a result of the investigations serves to emphasize the importance of magic and witchcraft in the everyday life of the African. One may conclude that, while the disturbance created by the investigations has long since died down, accusations of witchcraft still continue to be made and that, beneath the apparently calm surface, there is a turmoil of activity, of suspicions and fears that cannot be quieted or controlled by means of normal legal processes.","accus_commit_wrongdo,imprisonment,fear of imprisonment"
51,calsbeek,Case,Mbuti,"The demonstration of grief that followed was no mere formal expression ordained by custom; it was something very real and disturbing. I have seen death in a Negro village where the atmosphere was one of fear--fear of sorcery, of the power of evil that had been unleashed. Here it was quite different. It was not a feeling of [p. 49] fear, but a recognition of the completeness of a loss that could never be made good. There was a finality and terrible emptiness in old Balekimito's death which could not be answered, for which there was no explanation, not even through sorcery or witchcraft. For the moment it seemed that the Pygmies, faced with the death of an old and well-loved and respected person such as this old lady, had nothing to cling to, and I was genuinely afraid that some of them would come to harm. Young and old alike crowded around the house, trying to force their way to Balekimito's deathbed. They were even fighting to get in, and once inside they fought to get out. At one point several children came flying out in a frenzy and threw themselves onto the ground, beating it with their arms and legs, kicking and biting at anyone who tried to comfort them. Inside, the commotion was even worse--Asofalinda, looking almost as old as her dead mother, had put a noose around her neck and seemed to be trying to strangle herself, full of remorse at having let her mother die. It took three men to take the noose from her neck, and when they finally tore it from her she ran outside and collapsed on the ground, sobbing her heart out. Inside, the commotion was even worse--Asofalinda, looking almost as old as her dead mother, had put a noose around her neck and seemed to be trying to strangle herself, full of remorse at having let her mother die. It took three men to take the noose from her neck, and when they finally tore it from her she ran outside and collapsed on the ground, sobbing her heart out.",death_loved_one
58,calsbeek,Cultural model,Shluh,"The ar. /Arabic/M rd'-ch expresses the menacing despair into which iniquity plunges a person, driving him to a serious act: vengeance, malediction, suicide.","alienation,emotional distress"
59,calsbeek,Case,Shluh,"For example, during the winter of 1953, all the women of Usikis incurred the anger of a saint by collecting herbs in the reserved meadows of the Tasila. They were seized by ""demoniac"" manifestations that in one or two cases went [p. 374] as far as suicide.",spirit_attack
60,calsbeek,Cultural model,Shluh,"This is first of all an interjection,wqwq . It rejects tendentious allegations, draws attention to bad faith, and appeals against the powerful. In graver cases of oppression, characterized by a continuous state, the weak one has at his disposal a crescendo of means: to carry a candle end,lqandil , to the court of the judge, to wander through the villages, the head smeared with the soot coming from the breaking of a pot or covered with a mat; to proclaim, to make public,berrh' , in the markets that one is the victim of so and so. Beyond that there is emigration, a frequent [p. 373] form of protest against an oppressor judged for the moment to be stronger and against whom one insists on one's rights. It is in this way that the notarial practice knows ""safeguard"" acts,istih'fz' , most often confused with those ofistir [unknown]' . Whence, moreover, the frequent allegation of absence, interruptive of prescription, in instances of a more complex and more mature turn to which the revendication of land gives rise. Evidently, the Mussulman theory of theghayba , ""imprescriptibility based on absence,"" has provided there only a convenient cadre for an old, local notion, both economic and ritual: the absent one is also the suppliant. His flight obscurely ""obligates"" the one provoking it. These manifestations do not go, as in other societies, so far as the man's suicide. But it is striking that the Chleuh /Shluh/ woman rather frequently has recourse to this genre of protestation. She hangs herself or throws herself into a cistern. And, in fact, in spite of the juridical capacity which not only the law but the mores recognize for her, and which her psychological propensity makes her exercise fully, her life in certain respects is more amenable to an extrajuridical plane than that of the man. Perhaps because of lesser communal implication: economy of the gift during the long betrothal, assiduous practice of magic, relationships offides in the marriage state, recognized aptitude for imprecatory procedures. It is in these perspectives that it is necessary to study the act, rich in social consequences, that the suicide of the woman constitutes, an act relatively frequent, and which manifests the rupture, voluntary or not, of the bond of the group. Most often it is a solemn protestation against the wrong suffered.","interpersonal_confli,resource_loss,failed expectations,emotional distress"
61,calsbeek,Cultural model,Shluh,But it [suicide] may also result from a disorder inflicted by mysterious powers.,spirit_attack
63,calsbeek,Case,Tiv,"Suicide and Swende . During the ""war"" of May, 1950, a young Udam woman who had been married into Tivland for less than a week tried to commit suicide when her father's people and her husband's people were in armed conflict. The Tiv considered this most irrational, and all said that no Tiv, woman or man, would hold life so cheaply. Uta even said about it, bitingly, ""She should have waited--maybe we wouldn't have killed her."" [LB 23 July 1950 Iyon] At Ayatyavga's today, they began talking again about the attempted suicide of that Udam girl during the May war. Ayatyavga's senior wife shook her head, ""Cut your own throat! I couldn't do it! She was so frightened she tried to cut her own throat--she's crazy (a fa kwagh ga). We Tiv don't kill people--we wouldn't have hurt her."" She went on to say that she would rather be","group_conflict,enslavement_capture,forced marriage,separation from love,disconnected from fa,fear of imprisonment,fear of enslavement,emotional distress"
64,calsbeek,Case,Tiv,"A mad Uge woman was brought to MbaDuku for treatment. She escaped one day when most of the people of the compound had gone to market, wounded a woman and killed herself by stabbing. A pencilled note in English on the back of it says that the Uge relatives took away the body of the suicide, and that all witnesses were warned that they might be asked to give evidence at a formal trial.","psychological distre,mental illness"
65,calsbeek,Case,Wolof,"More striking examples for a Western reader, perhaps, than intermediaries who relay requests, announce decisions, or conduct political negotiations are cases where the intermediary's role is to express strong emotion. One afternoon, a group of women (some five nobles and two griots) were gathered near a well on the edge of town when another woman strode over to the well and threw herself down it. All the women were shocked at the apparent suicide attempt, but the noble women were shocked in silence. Only the griot women screamed, on behalf of all.26",unknown
69,calsbeek,Case,Central Thai,"Nevertheless, during the relatively brief period that I was in the field, three Bang Chaners (out of a population of 1,771) attempted to do away with themselves by hanging. They always selected a conspicuous place (a tree on the Minburi highway or over the main canal) and were always unsuccessful.",unknown
71,calsbeek,Case,Central Thai,"Rim had two wives. About nine o'clock at night the second wife and husband slept together. Pum, the first wife, slept nearby. That night Rim heard noises where his first wife was sleeping. He found her trying to commit suicide by tying a blanket around her throat -- (LMH 6/29/53).","interpersonal_confli,bring in cowife"
72,calsbeek,Case,Central Thai,"A jealous husband was more successful in his effort to kill himself: ""Before Wien died, he asked his wife, 'Do you love me?' Wife: 'Yes, I love you.' But Wien did not believe her. He took a razor and touched it to his neck. Wife cried and prayed to him. She then ran into the field to call her parents, who were working in the field. Suddenly she heard the sound of a gun"" (LMH 6/30/53) Here the objective was apparently the indirect revenge of anguish and remorse, through assigning responsibility for one's death to another.","interpersonal_confli,failed romantic rela,emotional distress"
73,calsbeek,Cultural model,Central Thai,Disputes and grievances against kinsmen are frequently settled by suicide or attempted suicide,"interpersonal_confli,family tension"
74,calsbeek,Cultural model,Central Thai,"A woman who has never been legally married to her husband, whom we shall call the deserted woman, is in even more desperate trouble if she loses her husband to his other woman. The woman who is deserted has nothing to fall back on. In the eyes of the law her children are illegitimate with no rights to her husband's property. If she has little education and has no support from her family, she may end up as a menial laborer or prostitute. Deserted women have even less chance of marrying again, and some, in despair, commit suicide. It is not difficult to understand why a woman facing the possibility of such a wretched future will resort to love magic.","interpersonal_confli,rejection,loss_social_position,resource_loss,thwarted marriage,failure or sense of ,failed romantic rela,inability to marry,family tension,disconnected from fa,fear of loss,thwarted status,emotional distress"
75,calsbeek,Case,Central Thai,"Another case is that of Clarence, a single man from another village, about twenty-two years old, who happened one day to be working on a construction gang in Bang Chan. One morning a villager happened along just in time to undo the rope by which Clarence had suspended his neck to a tree in front of Dr. Peter's house. After being revived, [p. 242] Clarence was induced to tell his tale: That morning, Clarence goes out to the fields to defecate. On the way back, suddenly everything goes black, and Clarence keels over . Now he sees beside him four or five men. The men invite Clarence to play on a swing (lo ching cha) with them. Clarence agrees. The men take Clarence to a big tree. With some ropes they make a swing. They invite Clarence to swing. He does . The next thing Clarence knew, a cluster of Bang Chan people were standing around him, trying eagerly to find out why he had attempted suicide. We will never know the biographical or psychological background of this troubled man. Nor will we know whether, or to what extent, he just ""made up"" his story. But the story is fully consistent with villagers' tendency to reason -- in this case, as often, retrospectively -- that ghosts that die violently can induce people to commit even the very violent and sinful act of suicide. Incidentally, within mere hours after this incident, Dr. Peter had cut down and disposed of the [contagiously contaminated and homeopathically suggestive] ""swing"" tree!",spirit_attack
77,calsbeek,Case,Chukchee,"I know an instance of a young girl who went out to the herd and hung herself to a tree, out of anger because her mother refused to take her along to the feast in a neighboring camp.","interpersonal_confli,thwarted purpose,family tension,emotional distress"
79,calsbeek,Case,Chukchee,"During the epidemic of influenza on the Wolverine River, before mentioned, there occurred two cases of suicide. One was that of a husband vexed at the loss of his young wife;","death_loved_one,emotional distress"
80,calsbeek,Case,Chukchee,"During the epidemic of influenza on the Wolverine River, before mentioned, there occurred two cases of suicide. One was that of a husband vexed at the loss of his young wife; the other, that of a mother who had lost her only son, a child of ten.","death_loved_one,loss of children,emotional distress"
81,calsbeek,Case,Chukchee,"There are cases of something like taedium vitae. In 1895, at the Anui fair, I spoke with a man....who declared that he did not want to live any longer. He gave as his reason, that fortune was adverse to him, that all his relatives had died, and that he was afraid that his herd at some time might begin to dwindle away, although at the time of speaking his reindeer were prospering. I did not pay much attention to his words, but the next winter I heard that he really had ordered himself to be strangled.","death_loved_one,fear of loss"
82,calsbeek,Case,Chukchee,"At the head waters of the river Omolon I met a family four of whose members had taken their own lives within four years without any apparent reason. Their neighbors felt much afraid, and expressed the opinion that the spirits who wanted more prey had treacherously led them on to self-destruction.",spirit_attack
83,calsbeek,Cultural model,Chukchee,"When thwarted in his purpose, the Chukchee is ready to go to any extreme, even to committing suicide, from uncontrollable rage.","thwarted purpose,emotional distress"
86,calsbeek,Case,Chukchee,"""Another case illustrating the strong attachment between husband and wife is that of an old man living in the Dry Anui district, who had lived with his wife for half a century. Suddenly he declared that he wanted to take a certain girl of the vicinity for his second wife. His old wife threatened to return to her own relatives if he should take the girl. The old couple had no children living who might have prevented the dissolution of that marriage. The old man hesitated for some time; but his desire to have children--if not begotten by himself, then at least the issue of the customary group-marriage--prevailed, and he took the young woman. His first wife kept her word and left the camp, going to her brother, who lived at a distance of a hundred miles. For a few months the old man lived with his young wife; then he repined. He felt too proud, however, to go and see his old mate. Rather than do that, he requested that he be killed, which was done by strangulation with a rope.... Thus it will be seen that the married life of the Chukchee is not exempt from strong feelings and romantic episodes.""","interpersonal_confli,rejection,loneliness,failed romantic rela,separation from love,disappointment in ma,bring in cowife,failed expectations,emotional distress"
87,calsbeek,Case,Chukchee,"""In another camp of the same locality [JMR: Dry Anui River] the following happened a few years ago. A man,[unknown] Cei'pu by name, expelled his eldest son, Nuwa't, who was a very unsatisfactory herdsman, and made his younger son the principal heir....The disowned youth wandered from camp to camp, and at last came to a rich reindeer-breeder, Yo'nlI. He married Yo'nlI's daughter, and lived at his house as an adopted son-in-law. The following spring, when moving to the summer pastures, the father-in-law, who was much displeased with his work, wanted to drive him away. The young wife was with child, but among the Chukchee this forms no obstacle to the rupture of a marriage. The quarrel happened while they were travelling. The young man said nothing; but after a while he sat down on his wife's sledge, embraced her from behind, drew his knife, and cut open her abdomen. Then he jumped from the sledge and cut his own throat.""","interpersonal_confli,accus_commit_wrongdo,loss_social_position,failed romantic rela,family tension,significant loss of ,divorce or attempted,emotional distress"
88,calsbeek,Case,Chukchee,"Voluntary death is still of frequent occurrence among the Chukchee. It is inflicted by a friend or relative, upon the expressed wish of the person who desires to die. Though I had no occasion to witness a case of voluntary death, I know of about twenty cases which happened among the Chukchee during the time of my travels.",unknown
89,calsbeek,Case,Chukchee,"One summer, while I was at Mariinsky Post, a large skin boat from the Telq'p tundra arrived for trading-purposes. One of the new-comers, after a visit to the Russian barracks, felt a sudden pain in his stomach. During the night the pain became acute, the sufferer asked to be killed, and his fellow-travellers complied with his request.","illness,bodily trauma"
90,calsbeek,Cultural model,Chukchee,"From what has been related, it will be seen that the voluntary death of old men is not prompted by any lack of good feeling towards the old men, but rather by the hard conditions of their life, which make existence almost unendurable for any one unable to take full care of himself. Accordingly, not only old people, but also those afflicted by some illness, often prefer death to continued suffering; and their number is even greater than that of old people who die a voluntary death.","enslavement_capture,infirmity,illness,bodily trauma,fear of illness disf"
93,calsbeek,Case,Chukchee,"Another case of the same character refers to a widow of forty, who lived with her son and two nephews, being an owner of a considerable herd. She felt that life held no pleasures for her. She was in fear that her herd might decrease, and that she would feel ashamed to live. She died by strangulation. The case was related to me by Aianwa't.","fear of loss,emotional distress"
