id	field_years	location	title	year	authors	publisher
14	August 1965-June 1969	"Bugisu District, Mount Elgon region, Uganda, 1960s"	Controlling anger: the sociology of Gisu violence	1989	"Heald, Suzette"	"Manchester [England] ; New York: Manchester University Press, for the International African Institute, London ; Distributed in the USA and Canada by St. Martin's Press"
15		"Bugisu District, Mount Elgon region, Uganda"	The Bagesu and other tribes of the Uganda Protectorate: the third part of hte report of the Mackie ethnological expedition to Central Africa	1924	"Roscoe, John"	Cambridge [Eng.]: The University Press
16	1951-1955	"Western Province, Uganda, 1951-1955"	Nyoro mortuary rites	1961	"Beattie, J. H. M."	Uganda journal 25(2):171-183
17	1951-1955	"Kihoko, Western Province, Uganda, 1953"	Nyoro marriage and affinity	1958	"Beattie, J. H. M."	"Africa -- Vol. 28, no. 2, p. 11-22"
18	1951-1955	"Western Province, Uganda, 1862-1967"	The Nyoro state	1971	"Beattie, J. H. M."	Oxford: Clarendon Press
19	1951-1955	"Western Province, Uganda, 1952-1955"	Bunyoro: an African kingdom	1960	"Beattie, J. H. M."	New York: Holt
20		"Western Province, Uganda, 1861-1919"	The Bakitara or Bunyoro: the first part of the report of the Mackie Ethnological Expedition to Central Africa	1923	"Roscoe, John"	Cambridge [Eng.]: The University Press
21	1931-1933	"Morogoro and Iringa Regions, Tanzania, 1860-1933"	Ubena of the Rivers	1935	"Culwick, Arthur Theodore"	"London: G. Allen & Unwin, Ltd."
22	1937-1939	"Sanga area, Bandiagara Circle, Mopti Region, Mali, 1936-1939"	The souls of the Dogons	1941	"Dieterlen, Germaine"	Paris: Institut d'Ethnologie
23	1935-1939	"Bandiagara Circle, Mopti Region, Mali, 1937-1938"	Dogon mottoes	1941	"Ganay, Solange de"	Paris: Institut 'Ethnologie
24		Uganda	Culture and mental illness: a study from Uganda	1970	"Orley, John H."	Nairobi: Published for the Makerere Institute of Social Research [by] East African Pub. House
25	ca. 1900	"Uganda, 1854-1909"	The Baganda: an account of their native customs and beliefs	1911	"Roscoe, John"	London: Macmillan and Co.
26	1949-1950	"Nigeria, ca. 1900-1950"	"Baba of Karo, a woman of the Muslim Hausa"	1954	"Baba of Karo, ; Smith, Mary Felice"	London: Farber and Farber
27	1980-1982	"Town of Nnobi, Idemili division, Anambra State, Nigeria"	"Male daughters, female husbands: gender and sex in an African society"	1987	"Amadiume, Ifi"	"London ; Atlantic Highlands, N.J.: Zed Books"
28	1900-1935	"Nigeria, 1900-1937"	"Niger Ibos: a description of the primitive life, customs and animistic beliefs, etc., of the Ibo people of Nigeria"	1966	"Basden, George Thomas"	London: Cass
29	1987-1988	"Onitsha, Anambra State, Nigeria, 1987-1988"	Married in the water: spirit kin and other afflictions of modernity in southeastern Nigeria	1997	"Bastian, Misty L."	"Journal of religion in Africa = Religion en Afrique -- Vol. 27, no. 2"
30	1960-1962	"Onitsha town and vicinity, southeastern Nigeria, ca. 1850-1900"	Ritual roles of women in Onitsha society	1970	"Henderson, Helen Kreider"	"Ann Arbor, Mich.: University Microfilms"
31	1961-1962	"Town of Onitsha, southeastern Nigeria, mid nineteenth century - 1962"	An outline of traditional Onitsha Ibo socialization	1966	"Henderson, Richard N."	"Ibadan: Institute of Education, University of Ibadan"
32	1929-1932	"Southeastern Nigeria, 1929-1932"	Law and authority in a Nigerian tribe: a study in indirect rule	1970	"Meek, Charles Kingsley"	New York: Barnes & Noble
33	"esp. 1960-1961, July 1963-end of 1964 (?)"	"Riverain Ndi Ogbaru peoples (Abo, Onitsha, Osomari, and Oguta), Nigeria, early nineteenth century - 1960s"	Studies in Ibo political systems: chieftaincy and politics in four Niger states	1972	"Nzimiro, Ikenna"	Berkeley: University of California Press
34			Marriage relationships in the double descent system of the Afikpo Igbo of southeastern Nigeria	1958	"Ottenberg, Phoebe"	"Ann Arbor, Mich.: University Microfilms"
35	1912	"Asaba District, southern Nigeria"	"Anthropological report on the Ibo-speaking peoples of Nigeria: pt. IV. Law and custom of the Ibo of the Asaba district, S. Nigeria"	1914	"Thomas, Northcote Whitridge"	London: Harrison and Sons
36	1911	"Awka District, Anambra State, Nigeria, 1911"	"Anthropological report on the Ibo-speaking peoples of Nigeria: pt. I. Law and custom of the Ibo of the Awka neighbourhood, S. Nigeria"	1913	"Thomas, Northcote Whitridge"	London: Harrison and Sons
37	"1955-57, summers 1964-66"	"Borno State, Nigeria, 1955 - 1966"	Dominance and defiance: a study of marital instability in an Islamic African society	1971	"Cohen, Ronald"	"Washington, D.C.: American Anthropological Association"
38	1978-1980	"Western Desert, Egypt, 1978-1980"	Veiled sentiments: honor and poetry in a Bedouin society	1986	"Abu-Lughod, Lila"	Berkeley: University of California Press
39		variable 1876-1896	The hidden hippopotamus: reappraisal in African history	1980	"Prins, Gwyn"	Cambridge [Eng.] ; New York: Cambridge University Press
40	1957	1956	"Magic, divination and witchcraft among the Barotse of Northern Rhodesia"	1963	"Reynolds, Barrie"	"London, England: Chatto and Windus"
41	"1951, 1957, 1958"		The forest people	1962	"Turnbull, Colin M."	"New York, N.Y.: Simon and Schuster"
42	"1931, 1936"	"Sobat and Jonglei Provinces, Sudan, 1930-1936"	Nuer religion	1956	"Evans-Pritchard, Edward Evan"	Oxford: Clarendon Press
43	1942-1944	"Jonglei Province, Sudan, 1931-1952"	"A manual of Nuer law: being an account of customary law, its evolution and development in the courts established by the Sudan Governmen"	1954	"Howell, Paul Philip"	London: Oxford University Press
44	1955-1956	"Epalanga, Huambo, Angola, 1955-1956"	The Ovimbundu under two sovereignties: a study of social control and social change among a people of Angola	1962	"Edwards, Adrian C."	London: Published for the International African Institute by the Oxford University Press
45	1904-1944	"Angola, 1904-1944"	Umbundu: folk tales from Angola	1962	"Ennis, Merlin W."	Boston: Beacon Press
46	1929-1930	"Angola, 1929"	The Ovimbundu of Angola	1934	"Hambly, Wilfrid Dyson"	Chicago: [s. n.]
47	1979-1980	"BiÌ© and Huambo Provinces, Angola, 1904-1926"	Contested power in Angola: 1840s to the present	2000	"Heywood, Linda Marinda"	"Rochester, N.Y.: University of Rochester Press"
48	1979-1980	"BiÌ© and Huambo Provinces, Angola, 1850-1930"	"Production, trade and power: the political economy of central Angola"	1984	"Heywood, Linda Marinda"	"Ann Arbor, Mich.: University Microfilms International"
49	ca. 1950	"not specified, historical reconstruction"	Social structures of the High Atlas	1955	"Berque, Jacques"	Paris: Presses Universitaires de France
50	1921-1928	Place not specified; Date: Roman and Carthaginian periods to 1928	The Berbers and the Makhzen in the south of Morocco: essay on the political transformation of the sedentary Berbers (the Chleuh group)	1930	"Montagne, Robert"	Paris: Librarie FÌ©lix Alcan
51	1949-1953	"Benue State, Nigeria"	A source book on Tiv religion in 5 volumes	1969	"Bohannan, Paul"	"New Haven, Conn.: Human Relations Area Files"
52	1949-1952	"Benue State, Nigeria"	Three source notebooks in Tiv ethnography	1958	"Bohannan, Paul"	"New Haven, Conn.: Human Relations Area Files"
53	"1970-1971, 1975, 1977, 1984"	"Prefecture de Tivaouane, Senegal, 1970-1971, 1975, 1977, 1984"	Registering affect: heteroglossia in the linguistic expression of emotion	1990	"Irvine, Judith T."	"Published In: Language and the politics of emotion, edited by Catherine A. Lutz, Lila Abu-Lughod Published By: Cambridge [England]; New York; Paris: Cambridge University Press: Editions de la maison des sciences de l'homme"
54	1961?	"Atimelang village, Alor Island, Nusa Tenggara Timur Province, Lesser Sunda Islands, Indonesia, 1938-1939"	The people of Alor: a social-psychological study of an East Indian Island	1944	"Du Bois, Cora Alice"	Minneapolis: Univ. of Minnesota Press
55	1869-1880		On the aboriginal inhabitants of the Andaman Islands	1932	"Man, Edward Horace"	London: The Royal Anthropological Institute of Great Britain and Ireland
56	"Oct. 1967-Jul. 1969, Dec. 1971-June 1973"	"Bishnupur, District of Bankura, West Bengal, India"	"Conch shell bangles, iron bangles: an analysis of women, marriage, and ritual in Bengal"	1975	"Fruzzetti, Lina M"	"Ann Arbor, Mich.: University Microfilms"
57	1954-1966	"Narayanganj, Dacca, Bangladesh, 1954-1966"	A Bangladesh village: conflict and cohesion : an anthropological study of politics	1974	"Islam, A. K. M. Aminul"	"Cambridge, Mass.: Schenkman Pub. Co."
58	Feb. 1981-Oct. 1982	"Palashpur, West Bengal, India"	Women and children in a Bengali village	1988	"Rohner, Ronald Preston"	"Hanover, Conn. ; London: Published for University of Connecticut, University Press of New England"
59	"1950-1959, 1965-1969"	"West Bengal, India, 700-1900"	Bengali women	1975	"Roy, Manisha"	Chicago: University of Chicago Press
60	1956-1957	"Bang Chan, Thailand, 1950-1960"	Thai peasant personality: the patterning of interpersonal behavior in the village of Bang Chan	1966	"Phillips, Herbert P."	"Berkeley and Los Angeles, Calif.: University of California Press"
61	1948-1970		Bang Chan: social history of a rural community in Thai	1978	"Sharp, Richard Lauriston"	"Ithaca, N.Y.: Cornell University Press"
62		"Bangkok area, Thailand, 1932-1971"	The socio-cultural setting of love magic in central Thailand	1979	"Thongthew-Ratarasarn, Somchintana"	"Madison, Wisc.: Center for Southeast Asian Studies, University of Wisconsin-Madison"
63	1952-1971	"Bang Chan, Thailand, 1952-1971"	Roster of the gods: an ethnography of the supernatural in a Thai village	1973	"Textor, Robert Bayard"	"New Haven, Conn.: Human Relations Area Files"
64		"Eastern Siberia, Russia"	"The Chukchee: material culture [part 1], religion [part 2], social organization [part 3]"	1904	"Bogoraz-Tan, Vladimir Germanovich"	"Leiden ; New York: E. J. Brill, Ltd. ; G. E. Stechert and Co."
65	1892-1932	"Central Celebes, Indonesia, pre-contact to early contact period"	The Bare'e-speaking Toradja of central Celebes (the East Toradja): second volume	1951	"Adriani, Nicolaus"	Amsterdam: Noord-Hollandsche Uitgevers Maatschappij
66	1892-1932	"Celebes, Indonesia"	The Bare'e-speaking Toradja of central Celebes (the East Toradja): first volume	1950	"Adriani, Nicolaus"	Amsterdam: Noord-Hollandsche Uitgevers Maatschappij
67	1954-1956	"village of Rengsanggri, Garo Hills, Meghalaya State, India, 1954-1956"	Rengsanggri: family and kinship in a Garo village	1963	"Burling, Robbins"	Philadelphia: University of Pennsylvania Press
68	1958-1968	"Garo Hills, Meghalaya, India, 1958-1968"	A Study of social attitudes among the Garo	1968	"Goswami, M. C."	"Man in India -- Vol. 48, no. 1, Calcutta, etc.: A. K. Bose, etc."
69	1970s	"Garo Hills, Meghalaya, India, 1970s"	Religious beliefs and customs among the Garo	1995	"Thomas, M. C."	"Hill societies, their modernisation: a study of north east with special reference to Garo Hills, edited by Milton S. Sangma, New Delhi: Omsons Publications. 199-209 p"
70			"The natives of Borneo: edited from the papers of the late Brooke Low, Esq."	1893	"Low, Hugh Brooke"	The Journal of the Anthropological Institute of Great Britian and Ireland -- Vol. 22. 22-64: p
71			"The natives of Borneo: edited from the papers of the late Brooke Low, Esq."	1892	"Low, Hugh Brooke"	"The Journal of the Anthropological Institute of Great Britian and Ireland -- Vol. 21, p. 110-137"
72	1908-1914	"Mountain Province, northern Luzon, Philippines, 1908-1914"	The half-way sun: life among the headhunters of the Philippines	1930	"Barton, Roy Franklin"	"New York: Brewer & Warren, Inc."
73	1935-1936		In Korean wilds and villages	1938	"Bergman, Sten"	London: John Gifford
74	1965-?	"Sokp'o, South Korea"	A Korean village between farm and sea	1971	"Brandt, Vincent S. R."	"Cambridge, Mass.: Harvard University Press"
75	1977-1978	"Kyongsangbuk-do Province, Republic of Korea, 1948-1978"	The system of belief in Korean rural communities	1986	"Cho, Oak-La"	"Asian peoples and their cultures : continuity and change, edited by Sang-Bok Han, Seoul, Korea: Seoul National University Press, p. 185-199"
76	1975-1976	"Chindo Island, Republic of Korea, 1945-1976"	Reciprocity and Korean society: an ethnography of Hasami	1984	"Chun, Kyung-soo"	Seoul: Seoul National University Press
77			A history of the church in Korea: vol. 1	1874	"Dallet, Charles"	Paris: Victor PalmÌ©
78	"1973-1974, 1977-1978"	"Kagong-ni Hubuk, Republic of Korea, 1950-1978"	Ancestor worship and Korean society	1982	"Janelli, Roger L."	"Stanford, Calif.: Stanford University Press"
79			The grass roof	1931	"Kang, Younghill"	New York: Charles Scribner's Sons
80	1987-1991	"Republic of Korea, 1945-1991"	The culture of Korean industry: an ethnography of Poongsan Corporation	1992	"Kim, Choong Soon"	Tucson: University of Arizona Press
81	1899-1909		Village life in Korea	1911	"Moose, J. Robert"	Nashville: M.E. Church
82			Korean interviews	1897	"Morse, Edward S."	"Appleton's popular science monthly -- May, 1897 16 p. [incomplete]"
83	1900-1901	"Gizhiga District, Magadan Province and Koryak Autonomous District, Kamchatka Province, Russia, 1897-1902"	The Koryak	1905	"Jochelson, Waldemar"	"Publications of the Jesup North Pacific Expedition -- Vol. VI, Leiden ; New York: E. J. Bril ; G. E. Stechert, 1905-1908"
84	1937	"Lingthem, Zongu, Sikkim, India, 1937"	Himalayan village: an account of the Lepchas of Sikkim	1938	"Gorer, Geoffrey"	"London: Michael Joseph, Ltd."
85	1937	"Lingthem, Sikkim, India, 1937"	Living with Lepchas: a book about the Sikkim Himalayas	1938	"Morris, John"	London: William Heinemann Ltd.
86		Okinawa	Okinawa: the history on an island people	1958	"Kerr, George H."	"Rutland, Vt.: C. E. Tuttle Co."
87	1953-1961	"Okinawa, 1000 B.C. - 1961"	"Okinawan religion: belief, ritual, and social structure"	1966	"Lebra, William P."	[Honolulu]: University of Hawaii Press
88	1954-1955	"Taira, Okinawa, Ryukyu Islands, Japan, late nineteenth century -1955"	Taira: an Okinawan village	1963	"Maretzki, Thomas W."	"Six cultures : studies of child rearing, edited by Beatrice B. Whiting, New York: John Wiley and Sons, Inc.. 1-13, 363-539"
89		"Ghilzai Pashtun, Afghanistan"	Social structure and the veil: comportment and the composition of interaction in Afghanistan	1982	"Anderson, Jon W."	"Anthropos -- Vol. 77, no. 3/4, Salzburg, Oesterreich: Zaunrith'sche Buch-, Kunst- und Steindruckerei. 397-320 p."
90	1977-1978	"Kunar Valley, eastern Afghanistan"	"Women, honour and love: some aspects of the Pashtun woman's life in eastern Afghanistan"	1980	"Boesen, Inger W."	"Afghanistan Journal -- Vol. 7, no. 3, [Graz]: [Akademische Druck- u. Verlagsanstalt]. 50-59"
91	1968-1977	"Swat District, northern Pakistan,1968-1977"	Generosity and jealousy: the Swat Pukhtun of northern Pakistan	1982	"Lindholm, Charles"	New York: Columbia University Press
92	"1959-1963, 1986-1990"	"Kudat District, Sabah, Malaysia, 1959-1990"	Individuation of the drives of sex and aggression in the linguistic and behavioral repertoire of the Rungus	1991	"Appell, George N."	"Female and male in Borneo : contributions and challenges to gender studies, edited by Vinson H. Sutlive, Jr., Williamsburg, VA, USA: Borneo Research Council, 57-120 p."
93	1959-1963	"Kudat District, Sabah, Malaysia, 1959-1963"	"The nature of social groupings among the Rungus Dusun of Sabah, Malaysia"	1965	"Appell, George N."	[s.l.]: [s.n.]
94	December 1942-June 1943	"Santal Parganas District, Bihar, India, 1942-1945"	Tribal law and justice: a report on the Santal	1984	"Archer, William George"	New Delhi: Concept
95	1931-1943	India	Tribal heritage: a study of the Santals	1949	"Culshaw, W. J."	London: Lutterworth Press
96	1933-1939	"Mayurbhanj, Orissa, India"	The Santals	1962	"Mukherjea, Charulal"	"Calcutta: A. Mukherjee & Co., Private Ltd."
97	1954-1956	"The South Coast, Sri Lanka,"	"Under the bo tree: studies in caste, kinship, and marriage in the interior of Ceylon"	1971	"Yalman, Nur"	"Berkeley, Calif. ; Los Angeles, Calif. ; London, England: University of California Press ; University of California Press, Ltd."
98			Feasts of honor: ritual and change in the Toraja Highlands	1985	"Volkman, Toby Alice"	"Urbana, Illinois: University of Illinois Press"
99	1969-1970		The cult of the dead in a Chinese village	1973	"Ahern, Emily M."	"Stanford, Calif.: Stanford University Press"
100			K'un Shen: a Taiwan village	1969	"Diamond, Norma"	"New York: Holt, Rinehart and Winston"
101			"Hsin Hsing, Taiwan: a Chinese village in change"	1966	"Gallin, Bernard"	Berkeley ; Los Angeles: University of California Press
102	1970		"Prosperity Settlement: the politics of PAIPAI in Taipei, Taiwan"	1974	"Gates, Hill"	"Ann Arbor, Mich.: University Microfilms"
103	1973-1974		Agricultural degradation: changing community systems in rural Taiwan	1978	"Huang, Shu-min"	"Ann Arbor, Mich.: University Microfilms"
104	1971-1973		"Local politics in rural Taiwan: a field study of KUAN-HSI, face, and faction in Matsu township, Ann Arbor, Mich.: Xerox University Microfilms"	1976	"Jacobs, J. Bruce"	
105			"Gods, ghosts, and ancestors: the folk religion of a Taiwanese village"	1972	"Jordan, David K."	Berkeley: University of California Press
106	1962-1965	Date Coverage: 19th Century	"A Chinese pioneer family: the Lins of Wu-feng, Taiwan, 1729-1895"	1979	"Meskill, Johanna Margarete Menzel"	"Princeton, N.J.: Princeton University Press"
107	1976-1977	ca. 1624-1977	"A Chinese marketing community: an historical ethnography of Ta-ch'i, Taiwan"	1980	"Sangren, Paul Steven"	"Ann Arbor, Mich.: University Microfilms International"
108	1958-1970	1845-1945	"Marriage and adoption in China, 1845-1945"	1980	"Wolf, Arthur P."	"Stanford, Calif.: Stanford University Press"
109	1959-1961	ca. 1960	Women and the family in rural Taiwan	1972	"Wolf, Margery"	"Stanford, Calif.: Stanford University Press"
110	1958-1961		The house of Lim: a study of a Chinese farm family	1968	"Wolf, Margery"	New York: Appleton-Century-Crofts
111	1880-1892	"Sakha Republic, Russia"	The Yakut: an experiment in ethnographic research	1993	"Sieroszewski, Waclaw"	Moskva: Assotsiatsiia 'Rossiiskaia polit. entsiklopediia'
112	Jan.-Aug. 1965 ; summer of 1966 (2 months)	"MurÌ©laga, Vizcaya, Spain"	Death in Murelaga: funerary ritual in a Spanish Basque village	1969	"Douglass, William A."	Seattle ; London: University of Washington
113	1976-1979	"Sainte-EngrÌ¢ce, Soule, France, 700 A.D. - 1970s"	The circle of mountains: a Basque shepherding community	1981	"Ott, Sandra"	Oxford: Clarendon Press
114		1950-1951	Greece	1953	"Lee, Dorothy Demetracopulou"	"Cultural patterns and technical change, edited by Margaret Mead, Paris: UNESCO. 77-114 p."
115	1970-1988		Scottish crofters: an historical ethnography of a Celtic village	1990	"Parman, Susan"	"New York: Holt, Rinehart and Winston"
116	circa 1810	"Montenegro, Yugoslavia, 1797-1812"	"Travels in Montenegro, containing a topographical, picturesque, and statistical account of that hitherto undescribed country"	1820	"Vialla de Sommieres, L. C."	London: Printed for R. Phillips
117	ca. 1971-1976	"Guov'dageai'dno (kautokeino) township, Finnmark County, Norway, ca. 1971-1976"	Saami ethnoecology: resource management in Norwegian Lapland	1978	"Anderson, Myrdene"	"Ann Arbor, Mich.: University Microfilms International"
118	Jan. 1958-April 1959	"Skolt Saami, Sevettijarvi region, Finland, 1958-1959"	Individualism in Skolt Lapp society	1962	"Pelto, Pertti, J."	Helsinki: Suomen Muinaismuistoyhdistys (Finnish Antiquities Society)
119	ca. 1660	"variable, mostly Sweden, ca. 1660"	"The history of Lapland: containing a geographical description, and a natural history of that country; with an account of the inhabitants, their original, religion, customs, habits, marriages, conjurations, employments, etc."	1704	"Scheffer, Johannes"	"London: Printed for Tho. newborough, at the Golden-Ball in St. Paul's-Church-Yard and R. Parker under the Royal-Exchange. v, 416, 20 [repaginated 417-438"
120		"Serbia, Yugoslavia, nineteenth-mid-twentieth centuries"	"Among the people, native Yugoslav ethnography: selected writing of Milenko S. Filipovic"	1982	"Filipovic, Milenko S."	"Ann Arbor, Mich.: Michigan Slavic Publications, Dept. of Slavic Languages and Literatures"
121	pre-1921	"Kragujevac area, Serbia, Yugoslavia"	Folk life and customs in the Kragujevac region of the Jasenica in Sumdaija	1973	"Pavlovic, Jeremija M."	"New Haven, Conn.: Human Relations Area Files"
122			Cultural summary: Dominicans	0	"Whiteford, Linda M."	
123	"1967-1972, 1975-1976"	"San Blas Coast and Islands, Panama, 1967-1976"	Curing among the San Blas Kuna of Panama	1983	"Chapin, Mac"	"Ann Arbor, Michigan: University Microfilms International"
124	1975-1985	"Coba, Quintana Roo, Mexico, 1930-1987 Yucatan Peninsula"	Life under the tropical canopy: tradition and change among the Yucatec Maya	1990	"Kintz, Ellen R."	"Fort Worth: Holt, Rinehart and Winston"
125	1963-1968	"Pustunich, YucatÌÁn, Mexico, 1500-1940"	Tradition and adaptation: life in a modern Yucatan Maya village	1975	"Press, Irwin"	"Westport, Conn.: Greenwood Press"
126	1927-1933	"Chan Kom, Yucatan, Mexico, prehistory - 1933"	Chan Kom: a Maya village	1934	"Redfield, Robert"	Chicago: University of Chicago Press
127	1932-1936	"subtribe of X-Cal; Quintana Roo, Mexico"	The Maya of east central Quintana Roo	1945	"Villa Rojas, Alfonso"	"Washington, D.C.: Carnegie Institution of Washington"
128	"1953, 1954"	"Chihuahua, Mexico"	A study in culture persistence: the Tarahumaras of northwestern Mexico	1963	"Champion, Jean Ren"	"Ann Arbor, Michigan: University Microfilms"
129	1950-1951	"Chihuahua, Mexico"	Ideal norms and social control in Tarahumara society	1952	"Fried, Jacob"	"New Haven, Conn.: Yale University"
130	1891-1898	"Chihuahua, Mexico, 1891-1898"	"Unknown Mexico: a record of five years exploration of the western Sierra Madre ; in the Tierra Caliente of Tepic and Jalisco ; and among the Tarascos of Michoacan, Vol. 1."	1902	"Lumholtz, Carl"	New York: Charles Scribners' Sons
131	1964 and 1965		Death as a way of life: the increasing resort to homicide in a Maya Indian community	1967	"Nash, June C."	American anthropologist -- Vol. 69. 455-470 p.
132	1951	"Rowanduz, Iraq"	Rowanduz: a Kurdish administrative and mercantile center	1953	"Masters, William Murray"	[s.l.]: [s.n.]. vi (3)
133			Cultural summary: Palestinians	2003	"Talhami, Ghada Hashem"	"New Haven, Conn.: HRAF"
134	1836-1856	"Montana, United States, 1776-1851"	Of the Assiniboines	1961	"Denig, Edwin Thompson"	"Five Indian tribes of the upper Missouri ; Sioux, Arickaras, Assiniboines, Crees, Crows. Edwin Thompson Denig ; edited and with an introd. by John C. Ewers, Norman: University of Oklahoma Press. 63-98 p."
135	1850s	"Upper Missouri River area, United States, late eighteenth-mid nineteenth centuries"	Indian tribes of the upper Missouri	1930	"Denig, Edwin Thompson"	Washington D.C.: Government Printing Office. 377-628 p.
136		"Cypress Hills, Saskatchewan, Canada, 1872-1882"	Recollections of an Assiniboine chief	1972	"Kennedy, Dan"	Toronto: McClelland and Stewart
137	1967-1974	"United States, mid-nineteenth century-1970s"	Amerikanuak: Basques in the New World	1975	"Douglass, William A."	"Reno, Nevada: University of Nevada Press"
138		"Blood Indians, southern Alberta, Canada, 1850s-1907"	Charcoal's world	1978	"Dempsey, Hugh Aylmer"	Saskatoon: Western Producer Prairie Books
139	1941-1951	"northwestern Montana, United States; southern Alberta, Canada, ca. 1800-1850"	The Blackfeet: raiders of the northwestern Plains	1958	"Ewers, John Canfield"	Norman: University of Oklahoma Press
140	ca. 1888	"Blackfeet Indian Reservation, Montana, United States; Blood Agencies in Canada"	Blackfoot lodge tales: the story of a prairie people	1962	"Grinnell, George Bird"	Lincoln: University of Nebraska Press
141	"1938, 1939"	"Northern Blackfoot Reserve; Gleichen, Alberta, Canada"	Observations on Northern Blackfoot kinship	1966	"Hanks, Lucien Mason"	Seattle; London: University of Washington Press
142	1938-1941	"Northern Blackfoot; Blackfoot Reserve, Gleichen, Alberta, Canada, ca. 1879-1941"	Tribe under trust: a study of the Blackfoot Reserve of Alberta	1950	"Hanks, Lucien Mason"	Toronto: University of Toronto Press
143	ca. 1972	"Blood Reserve, Alberta, Canada and environs, ca. 1850-1972"	The Blood People: a division of the Blackfoot Confederacy: an illustrated interpretation of the old ways	1977	"Hungry Wolf, Adolf"	New York: Harper & Row
144		"Blood Reserve in southern Alberta, Canada"	The ways of my grandmothers	1980	"Hungry Wolf, Beverly"	New York: Morrow
145	1896-1910	"northwestern Montana, United States; southern Alberta, Canada"	"The old north trail: or, Life, legends and religion of the Blackfeet Indians"	1968	"McClintock, Walter"	Lincoln: University of Nebraska Press
146		"Blood Indians, Alberta, Canada, ca. 1870s - 1964"	"My people, the Bloods"	1979	"Mountain Horse, Mike"	"Calgary; Standoff, Alta.: Glenbow-Alberta Institute; Blood Tribal Council"
147		"Blackfoot Confederacy, reservation Indians, Canada, United States, 1880-1920"	"The Blackfoot confederacy, 1880-1920: a comparative study of Canadian and U.S. Indian policy"	1987	"Samek, Hana"	Albuquerque: University of New Mexico Press
148		"San Antonio, Texas, United States"	Curanderismo: Mexican-American folk psychiatry	1968	"Kiev, Ari"	New York: Free Press
149	1957-1959	"neighborhood of Mexiquitos, city of ""New Lots"", Rio Grande Valley, south Texas, United States, 1900-1959"	Across the tracks: Mexican-Americans in a Texas city	1966	"Rubel, Arthur J."	Austin: Published for the Hogg Foundation for Mental Health by the University of Texas Press
150	1769-1772	1715-1772	"A journey from Prince of Wales's fort in Hudson's Bay to the Northern Ocean, 1769, 1770, 1771, 1772"	1958	"Hearne, Samuel"	Toronto: Macmillan Co. of Canada
151	1968-1983	"Northwest Territories, Canada, early contact period - 1983"	"The transformation of Bigfoot: maleness, power, and belief among the Chipewyan"	1988	"Sharp, Henry S."	"Washington, D.C.: Smithsonian Institution Press"
152	1968-1974	"Great Slave Lake region, Northwest Territories, Canada, 1968-1972"	The dynamics of a Dene struggle for self-determination	1992	"Smith, David Merrill"	"Anthropologica -- Vol. 34, no. 1, Waterloo, Ontario: Wilfrid Laurier University Press. 21-49 p."
153	1968-1972	"Great Slave Lake region, Northwest Territories, Canada, 1951-1974"	Moose-Deer island house people: a history of the native people of Fort Resolution	1982	"Smith, David Merrill"	Ottawa: National Museums of Canada
